Commercial.Online.Year,resource_region,tech,cap
2010,1,wind-ons,6.0
2010,4,wind-ons,190.7
2010,5,wind-ons,50.0
2010,16,wind-ons,331.7
2010,20,wind-ons,101.2
2010,25,wind-ons,36.8
2010,26,wind-ons,1.5
2010,44,wind-ons,22.5
2010,46,wind-ons,58.8
2010,47,wind-ons,124.5
2010,54,wind-ons,65.1
2010,74,wind-ons,311.0
2010,82,wind-ons,3.8
2010,84,wind-ons,1.8
2010,86,wind-ons,51.0
2010,89,wind-ons,102.4
2010,98,wind-ons,19.5
2010,100,wind-ons,139.2
2010,102,wind-ons,62.4
2010,112,wind-ons,309.0
2010,119,wind-ons,60.0
2010,121,wind-ons,20.0
2010,123,wind-ons,204.5
2010,136,wind-ons,60.5
2010,144,wind-ons,150.0
2010,149,wind-ons,7.5
2010,150,wind-ons,20.0
2010,153,wind-ons,251.0
2010,156,wind-ons,99.2
2010,172,wind-ons,150.0
2010,174,wind-ons,401.1
2010,176,wind-ons,148.8
2010,178,wind-ons,3.0
2010,180,wind-ons,3.0
2010,197,wind-ons,20.0
2010,207,wind-ons,500.0
2010,221,wind-ons,301.2
2010,226,wind-ons,2.0
2010,249,wind-ons,100.5
2010,253,wind-ons,70.0
2010,318,wind-ons,2.0
2010,347,wind-ons,3.0
2010,349,wind-ons,1.7
2010,355,wind-ons,66.0
2010,356,wind-ons,25.5
2011,5,wind-ons,201.2
2011,16,wind-ons,201.0
2011,19,wind-ons,3.0
2011,25,wind-ons,182.2
2011,26,wind-ons,2.0
2011,30,wind-ons,720.0
2011,33,wind-ons,50.5
2011,44,wind-ons,22.4
2011,46,wind-ons,244.5
2011,48,wind-ons,102.0
2011,53,wind-ons,10.0
2011,82,wind-ons,5.0
2011,85,wind-ons,248.3
2011,86,wind-ons,252.0
2011,90,wind-ons,50.4
2011,110,wind-ons,162.0
2011,116,wind-ons,3.0
2011,118,wind-ons,120.4
2011,121,wind-ons,20.6
2011,123,wind-ons,61.7
2011,124,wind-ons,20.0
2011,127,wind-ons,2.5
2011,128,wind-ons,49.6
2011,132,wind-ons,33.1
2011,134,wind-ons,100.0
2011,141,wind-ons,200.0
2011,150,wind-ons,80.3
2011,153,wind-ons,130.0
2011,154,wind-ons,100.0
2011,156,wind-ons,100.8
2011,163,wind-ons,145.0
2011,165,wind-ons,10.0
2011,167,wind-ons,225.0
2011,176,wind-ons,406.8
2011,177,wind-ons,3.1
2011,178,wind-ons,119.6
2011,180,wind-ons,443.9
2011,181,wind-ons,1.5
2011,182,wind-ons,40.8
2011,193,wind-ons,28.0
2011,200,wind-ons,240.0
2011,202,wind-ons,1.5
2011,208,wind-ons,150.0
2011,209,wind-ons,300.8
2011,215,wind-ons,102.0
2011,218,wind-ons,90.0
2011,228,wind-ons,401.0
2011,234,wind-ons,2.5
2011,249,wind-ons,97.6
2011,250,wind-ons,55.2
2011,253,wind-ons,50.0
2011,322,wind-ons,38.0
2011,326,wind-ons,3.2
2011,335,wind-ons,51.3
2011,337,wind-ons,74.0
2011,347,wind-ons,18.4
2011,348,wind-ons,3.1
2011,349,wind-ons,3.0
2011,351,wind-ons,40.0
2011,355,wind-ons,20.0
2011,356,wind-ons,60.0
2012,4,wind-ons,4.3
2012,8,wind-ons,105.3
2012,9,wind-ons,342.7
2012,16,wind-ons,845.0
2012,20,wind-ons,1.0
2012,22,wind-ons,1.0
2012,25,wind-ons,309.7
2012,30,wind-ons,1313.0
2012,33,wind-ons,331.80000000000007
2012,36,wind-ons,150.0
2012,44,wind-ons,178.0
2012,47,wind-ons,173.4
2012,54,wind-ons,99.2
2012,64,wind-ons,184.6
2012,66,wind-ons,60.0
2012,67,wind-ons,9.6
2012,85,wind-ons,67.2
2012,86,wind-ons,400.0
2012,87,wind-ons,29.0
2012,100,wind-ons,255.0
2012,116,wind-ons,79.9
2012,118,wind-ons,40.0
2012,123,wind-ons,230.0
2012,132,wind-ons,179.0
2012,133,wind-ons,34.9
2012,136,wind-ons,775.4
2012,138,wind-ons,201.0
2012,139,wind-ons,470.4
2012,148,wind-ons,27.3
2012,149,wind-ons,61.2
2012,150,wind-ons,260.6
2012,152,wind-ons,120.0
2012,153,wind-ons,359.0
2012,154,wind-ons,249.60000000000002
2012,155,wind-ons,295.0
2012,156,wind-ons,298.5
