Commercial.Online.Year,pca,tech,coolingwatertech,cap
2010,p10,gas-CC,dum,345.0
2010,p10,gas-CT,dum,4.3
2010,p10,lfill-gas,dum,18.900000000000002
2010,p100,lfill-gas,dum,2.0
2010,p101,gas-CC,dum,295.0
2010,p101,lfill-gas,dum,0.8
2010,p103,lfill-gas,dum,6.0
2010,p105,lfill-gas,dum,7.999999999999999
2010,p109,gas-CT,dum,176.0
2010,p11,gas-CT,dum,146.2
2010,p111,gas-CT,dum,1.8
2010,p111,lfill-gas,dum,6.0
2010,p112,other,dum,53.0
2010,p114,o-g-s,dum,1.2
2010,p12,geothermal,dum,12.5
2010,p121,lfill-gas,dum,2.0
2010,p122,lfill-gas,dum,11.2
2010,p123,gas-CT,dum,4.3
2010,p125,lfill-gas,dum,1.0
2010,p126,gas-CT,dum,7.1
2010,p127,gas-CC,dum,591.0
2010,p127,gas-CT,dum,15.700000000000003
2010,p127,lfill-gas,dum,15.799999999999997
2010,p128,gas-CT,dum,2.5
2010,p13,o-g-s,dum,6.5
2010,p131,lfill-gas,dum,2.0
2010,p131,o-g-s,dum,3.1
2010,p132,gas-CT,dum,239.0
2010,p15,hydro,dum,16.0
2010,p21,hydro,dum,0.8999999999999999
2010,p23,coal-new,dum,100.0
2010,p25,gas-CT,dum,42.699999999999996
2010,p28,lfill-gas,dum,2.8
2010,p34,coal-new,dum,750.0
2010,p35,gas-CT,dum,90.8
2010,p40,gas-CT,dum,3.0
2010,p43,gas-CT,dum,11.5
2010,p43,lfill-gas,dum,5.8
2010,p5,gas-CC,dum,5.7
2010,p5,hydro,dum,3.3
2010,p5,lfill-gas,dum,4.8
2010,p50,gas-CT,dum,5.0
2010,p53,lfill-gas,dum,7.1
2010,p54,coal-new,dum,882.0
2010,p56,gas-CT,dum,40.0
2010,p56,lfill-gas,dum,4.0
2010,p58,coal-new,dum,628.0
2010,p58,gas-CC,dum,507.0
2010,p58,gas-CT,dum,1.8
2010,p63,coal-new,dum,1440.0
2010,p63,gas-CC,dum,200.0
2010,p63,gas-CT,dum,24.0
2010,p63,lfill-gas,dum,4.800000000000001
2010,p64,gas-CC,dum,33.0
2010,p64,gas-CT,dum,317.7
2010,p64,lfill-gas,dum,3.2
2010,p65,coal-new,dum,785.0
2010,p65,gas-CC,dum,628.0
2010,p65,gas-CT,dum,392.5999999999997
2010,p67,gas-CT,dum,52.3
2010,p68,other,dum,5.0
2010,p70,lfill-gas,dum,2.8
2010,p76,lfill-gas,dum,1.4
2010,p79,coal-new,dum,634.0
2010,p79,lfill-gas,dum,2.9
2010,p8,gas-CT,dum,5.0
2010,p80,gas-CT,dum,6.0
2010,p80,lfill-gas,dum,3.2
2010,p80,other,dum,3.0
2010,p81,hydro,dum,0.6
2010,p81,other,dum,78.0
2010,p85,coal-new,dum,670.0
2010,p89,lfill-gas,dum,0.8
2010,p9,gas-CC,dum,640.0
2010,p9,gas-CT,dum,157.1
2010,p9,lfill-gas,dum,1.4
2010,p9,o-g-s,dum,2.6
2010,p90,gas-CC,dum,721.8
2010,p90,gas-CT,dum,350.0
2010,p91,lfill-gas,dum,3.0
2010,p92,gas-CC,dum,525.0
2010,p93,gas-CT,dum,110.0
2010,p94,biopower,dum,18.0
2010,p94,other,dum,3.6
2010,p96,gas-CT,dum,20.0
2010,p96,lfill-gas,dum,4.0
2010,p97,gas-CT,dum,24.0
2010,p97,lfill-gas,dum,1.6
2010,p98,lfill-gas,dum,6.6
2010,p99,lfill-gas,dum,12.000000000000007
2011,p1,hydro,dum,7.9
2011,p10,gas-CT,dum,293.10000000000053
2011,p101,gas-CC,dum,290.0
2011,p101,gas-CT,dum,296.0
2011,p101,lfill-gas,dum,6.800000000000001
2011,p102,gas-CC,dum,1231.0
