Commercial.Online.Year,pca,tech,cap
2010,p10,DUPV,8.32
2010,p101,DUPV,1.56
2010,p101,UPV,16.25
2010,p102,UPV,13.0
2010,p112,UPV,13.0
2010,p113,DUPV,1.4300000000000002
2010,p122,DUPV,11.180000000000001
2010,p123,DUPV,1.8199999999999998
2010,p126,DUPV,28.729999999999997
2010,p13,UPV,62.400000000000006
2010,p131,DUPV,4.420000000000001
2010,p28,DUPV,4.55
2010,p29,DUPV,1.8199999999999998
2010,p30,DUPV,2.7300000000000004
2010,p31,UPV,39.0
2010,p33,DUPV,5.720000000000001
2010,p34,UPV,24.7
2010,p65,UPV,17.55
2010,p9,DUPV,21.189999999999998
2010,p9,UPV,6.5
2010,p97,DUPV,8.06
2010,p98,DUPV,1.3
2011,p10,DUPV,25.869999999999997
2011,p101,DUPV,5.590000000000001
2011,p101,UPV,19.63
2011,p106,DUPV,2.6
2011,p11,DUPV,4.290000000000001
2011,p112,UPV,10.4
2011,p122,DUPV,16.900000000000002
2011,p123,DUPV,7.93
2011,p125,DUPV,3.25
2011,p125,UPV,13.0
2011,p126,DUPV,138.58
2011,p126,UPV,84.63
2011,p128,DUPV,7.15
2011,p128,UPV,40.95
2011,p129,DUPV,4.55
2011,p131,DUPV,12.22
2011,p27,DUPV,1.9500000000000002
2011,p28,DUPV,14.950000000000001
2011,p28,UPV,160.42
2011,p30,DUPV,8.32
2011,p31,DUPV,9.620000000000001
2011,p31,UPV,52.0
2011,p33,DUPV,5.07
2011,p34,UPV,52.65
2011,p47,DUPV,2.21
2011,p47,UPV,65.26
2011,p5,DUPV,3.3800000000000003
2011,p64,UPV,39.0
2011,p9,DUPV,14.950000000000001
2011,p9,UPV,145.6
2011,p92,DUPV,0.9099999999999999
2011,p94,DUPV,1.3
2011,p97,DUPV,16.64
2011,p98,DUPV,12.48
2012,p10,DUPV,60.83999999999999
2012,p10,UPV,291.33
2012,p101,DUPV,5.8500000000000005
2012,p105,DUPV,9.75
2012,p111,DUPV,2.6
2012,p112,DUPV,11.959999999999999
2012,p113,DUPV,1.9500000000000002
2012,p115,DUPV,1.6900000000000002
2012,p12,UPV,28.340000000000003
2012,p121,UPV,17.81
2012,p122,DUPV,4.16
2012,p122,UPV,19.5
2012,p123,DUPV,6.24
2012,p123,UPV,7.15
2012,p125,UPV,15.340000000000002
2012,p126,DUPV,70.85000000000001
2012,p126,UPV,45.37
2012,p128,DUPV,8.450000000000001
2012,p129,DUPV,7.54
2012,p13,UPV,213.20000000000002
2012,p131,DUPV,56.029999999999994
2012,p25,DUPV,1.6900000000000002
2012,p27,UPV,11.700000000000001
2012,p28,DUPV,8.450000000000001
2012,p28,UPV,564.59
2012,p30,DUPV,11.05
2012,p30,UPV,39.0
2012,p31,DUPV,10.660000000000002
2012,p31,UPV,32.37
2012,p33,DUPV,2.8600000000000003
2012,p34,DUPV,1.3
2012,p34,UPV,39.0
2012,p5,DUPV,2.21
2012,p64,DUPV,1.6900000000000002
2012,p65,UPV,39.519999999999996
2012,p7,DUPV,8.32
2012,p80,DUPV,3.3800000000000003
2012,p80,UPV,26.0
2012,p9,DUPV,24.180000000000003
2012,p9,UPV,202.8
2012,p92,DUPV,5.460000000000001
2012,p92,UPV,10.270000000000001
2012,p94,DUPV,4.16
2012,p97,DUPV,11.700000000000001
2012,p97,UPV,13.0
2012,p98,DUPV,49.4
2012,p98,UPV,48.62
2013,p10,DUPV,60.970000000000006
2013,p10,UPV,1399.84
2013,p10,csp-ns,843.7
2013,p105,DUPV,5.2
2013,p106,UPV,50.18000000000001
2013,p11,DUPV,5.8500000000000005
2013,p11,UPV,46.800000000000004
2013,p113,DUPV,2.3400000000000003
2013,p121,UPV,27.169999999999998
2013,p122,DUPV,3.77
2013,p123,DUPV,10.4
2013,p125,DUPV,5.07
2013,p126,DUPV,40.300000000000004
2013,p126,UPV,46.15
2013,p127,DUPV,4.680000000000001
2013,p129,DUPV,10.919999999999998
2013,p13,DUPV,4.29
2013,p13,UPV,39.0
2013,p131,DUPV,128.17999999999998
2013,p131,UPV,7.279999999999999
2013,p132,UPV,6.5
2013,p133,DUPV,8.97
2013,p28,DUPV,6.89
2013,p28,UPV,265.46
2013,p28,csp-ns,383.5
2013,p30,UPV,45.5
2013,p31,DUPV,14.3
2013,p31,UPV,21.32
2013,p33,DUPV,2.8600000000000003
2013,p44,DUPV,2.21
2013,p47,DUPV,1.8199999999999998
