tech,pca,cap
battery,p105,2.0
battery,p112,2.0
battery,p117,2.0
pumped-hydro,p10,1626.6
pumped-hydro,p103,2304.0
pumped-hydro,p122,1583.0
pumped-hydro,p126,420.0
pumped-hydro,p127,1406.1
pumped-hydro,p131,1768.0
pumped-hydro,p132,29.4
pumped-hydro,p28,216.3
pumped-hydro,p33,599.1
pumped-hydro,p4,314.0
pumped-hydro,p51,258.0
pumped-hydro,p55,186.0
pumped-hydro,p71,31.0
pumped-hydro,p73,440.0
pumped-hydro,p85,28.0
pumped-hydro,p9,1423.2
pumped-hydro,p92,1616.3
pumped-hydro,p94,1862.2
pumped-hydro,p95,2140.0
pumped-hydro,p96,576.0
pumped-hydro,p97,86.0
pumped-hydro,p99,3241.0
