,cap,County,Fully.Loaded.Tested.Heat.Rate.Btu.kWh...Modeled,ORIS_Plant_Code,Commercial.Online.Year,Online_Yr_OG,PlantType,Plant_Name,RetireYearGiven,Retire_Yr_OG,RetireYear,Scrub_Match,Scrubber_Efficiency,Scrubber_Online_Year,State_Name,UniqueID,Unit_ID,Wet/DryScrubber,pca,resource_region,tech,Retire_Age,NukeRetireBin,Nuke80RetireYear,Nuke60RetireYear,NukeEarlyRetireYear,NukeRefRetireYear,IsExistUnit,ct,ctt,wst,coolingwatertech,Plant.NAICS.Description,Commercial.Online.Year.Quarter
0,254.0,Greene,10120,10,1965,1965,O/G Steam,Greene County,False,9999.0,2100,,,,Alabama,10_B_1,1,,p89,265,o-g-s,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1965-1
1,254.0,Greene,10018,10,1966,1966,O/G Steam,Greene County,False,9999.0,2100,,,,Alabama,10_B_2,2,,p89,265,o-g-s,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1966-1
2,85.0,Greene,14380,10,1996,1996,Combustion Turbine,Greene County,False,9999.0,2100,,,,Alabama,10_G_GT10,GT10,,p89,265,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1996-1
3,84.0,Greene,14380,10,1996,1996,Combustion Turbine,Greene County,False,9999.0,2100,,,,Alabama,10_G_GT2,GT2,,p89,265,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1996-1
4,82.0,Greene,14380,10,1995,1995,Combustion Turbine,Greene County,False,9999.0,2100,,,,Alabama,10_G_GT3,GT3,,p89,265,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1995-1
5,81.0,Greene,14380,10,1995,1995,Combustion Turbine,Greene County,False,9999.0,2100,,,,Alabama,10_G_GT4,GT4,,p89,265,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1995-1
6,82.0,Greene,14380,10,1995,1995,Combustion Turbine,Greene County,False,9999.0,2100,,,,Alabama,10_G_GT5,GT5,,p89,265,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1995-1
7,81.0,Greene,14380,10,1995,1995,Combustion Turbine,Greene County,False,9999.0,2100,,,,Alabama,10_G_GT6,GT6,,p89,265,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1995-1
8,80.0,Greene,14380,10,1995,1995,Combustion Turbine,Greene County,False,9999.0,2100,,,,Alabama,10_G_GT7,GT7,,p89,265,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1995-1
9,83.0,Greene,14380,10,1996,1996,Combustion Turbine,Greene County,False,9999.0,2100,,,,Alabama,10_G_GT8,GT8,,p89,265,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1996-1
10,82.0,Greene,14380,10,1996,1996,Combustion Turbine,Greene County,False,9999.0,2100,,,,Alabama,10_G_GT9,GT9,,p89,265,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1996-1
11,1.4,Maricopa,0,100,1981,1981,Hydro,South Consolidated,False,9999.0,2100,,,,Arizona,100_G_SC1,SC1,,p28,57,hydro,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1981-1
12,10.0,Jefferson,8300,10003,1967,1967,O/G Steam,Colorado Energy Nations Company,False,9999.0,2100,,,,Colorado,10003_B_BLR1,BLR1,,p33,82,o-g-s,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1967-1
13,10.0,Jefferson,8300,10003,1967,1967,O/G Steam,Colorado Energy Nations Company,False,9999.0,2100,,,,Colorado,10003_B_BLR2,BLR2,,p33,82,o-g-s,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1967-1
14,10.0,Jefferson,8300,10003,1974,1974,O/G Steam,Colorado Energy Nations Company,False,9999.0,2100,,,,Colorado,10003_B_BLR4,BLR4,,p33,82,o-g-s,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1974-1
