tech,coolingwatertech,pca,ctt,wst,cap
CoalOldScr,CoalOldScr_r_ww,p10,r,ww,54.0
CoalOldScr,CoalOldScr_r_ww,p101,r,ww,2548.0
CoalOldScr,CoalOldScr_r_ww,p103,r,ww,60.0
CoalOldScr,CoalOldScr_r_ww,p105,r,ww,722.0
CoalOldScr,CoalOldScr_r_ww,p107,r,ww,3156.0
CoalOldScr,CoalOldScr_r_ww,p108,r,ww,871.0
CoalOldScr,CoalOldScr_r_ww,p109,r,ww,1111.0
CoalOldScr,CoalOldScr_r_ww,p112,r,ww,2709.0
CoalOldScr,CoalOldScr_r_ww,p114,r,ww,1305.0
CoalOldScr,CoalOldScr_r_ww,p116,r,ww,3892.0
CoalOldScr,CoalOldScr_r_ww,p12,r,ww,268.0
CoalOldScr,CoalOldScr_r_ww,p122,r,ww,1492.0
CoalOldScr,CoalOldScr_r_ww,p126,r,ww,463.0
CoalOldScr,CoalOldScr_r_ww,p127,r,ww,686.0
CoalOldScr,CoalOldScr_r_ww,p2,r,ww,670.0
CoalOldScr,CoalOldScr_r_ww,p20,r,ww,1518.0
CoalOldScr,CoalOldScr_r_ww,p21,r,ww,2111.0
CoalOldScr,CoalOldScr_r_ww,p23,r,ww,332.0
CoalOldScr,CoalOldScr_r_ww,p24,r,ww,1710.0
CoalOldScr,CoalOldScr_r_ww,p25,r,ww,3671.0
CoalOldScr,CoalOldScr_r_ww,p26,r,ww,458.0
CoalOldScr,CoalOldScr_r_ww,p28,r,ww,291.0
CoalOldScr,CoalOldScr_r_ww,p29,r,ww,793.0
CoalOldScr,CoalOldScr_r_ww,p31,r,ww,1793.0
CoalOldScr,CoalOldScr_r_ww,p33,r,ww,1565.0
CoalOldScr,CoalOldScr_r_ww,p36,r,ww,1776.0
CoalOldScr,CoalOldScr_r_ww,p37,r,ww,1147.0
CoalOldScr,CoalOldScr_r_ww,p43,r,ww,1556.0
CoalOldScr,CoalOldScr_r_ww,p50,r,ww,320.0
CoalOldScr,CoalOldScr_r_ww,p51,r,ww,492.0
CoalOldScr,CoalOldScr_r_ww,p52,r,ww,359.0
CoalOldScr,CoalOldScr_r_ww,p57,r,ww,721.0
CoalOldScr,CoalOldScr_r_ww,p58,r,ww,846.0
CoalOldScr,CoalOldScr_r_ww,p60,r,ww,650.0
CoalOldScr,CoalOldScr_r_ww,p63,r,ww,4404.0
CoalOldScr,CoalOldScr_r_ww,p64,r,ww,905.0
CoalOldScr,CoalOldScr_r_ww,p65,r,ww,951.0
CoalOldScr,CoalOldScr_r_ww,p67,r,ww,610.0
CoalOldScr,CoalOldScr_r_ww,p70,r,ww,323.0
CoalOldScr,CoalOldScr_r_ww,p72,r,ww,240.0
CoalOldScr,CoalOldScr_r_ww,p81,r,ww,170.0
CoalOldScr,CoalOldScr_r_ww,p82,r,ww,188.0
CoalOldScr,CoalOldScr_r_ww,p96,r,ww,1140.0
CoalOldScr,CoalOldScr_r_ww,p99,r,ww,14.7
CoalOldUns,CoalOldUns_r_ww,p10,r,ww,2.3
CoalOldUns,CoalOldUns_r_ww,p101,r,ww,2434.0
CoalOldUns,CoalOldUns_r_ww,p103,r,ww,5936.0
CoalOldUns,CoalOldUns_r_ww,p105,r,ww,2392.8
CoalOldUns,CoalOldUns_r_ww,p107,r,ww,8136.0
CoalOldUns,CoalOldUns_r_ww,p109,r,ww,4603.0
CoalOldUns,CoalOldUns_r_ww,p111,r,ww,662.0
CoalOldUns,CoalOldUns_r_ww,p112,r,ww,7040.2
CoalOldUns,CoalOldUns_r_ww,p114,r,ww,1020.0
CoalOldUns,CoalOldUns_r_ww,p115,r,ww,2265.0
CoalOldUns,CoalOldUns_r_ww,p116,r,ww,6291.0
CoalOldUns,CoalOldUns_r_ww,p117,r,ww,4199.0
CoalOldUns,CoalOldUns_r_ww,p12,r,ww,254.0
CoalOldUns,CoalOldUns_r_ww,p122,r,ww,5489.0
CoalOldUns,CoalOldUns_r_ww,p123,r,ww,3969.0
CoalOldUns,CoalOldUns_r_ww,p125,r,ww,410.0
CoalOldUns,CoalOldUns_r_ww,p127,r,ww,294.0
CoalOldUns,CoalOldUns_r_ww,p130,r,ww,534.0
CoalOldUns,CoalOldUns_r_ww,p21,r,ww,2268.0
CoalOldUns,CoalOldUns_r_ww,p23,r,ww,332.0
CoalOldUns,CoalOldUns_r_ww,p24,r,ww,1330.0
CoalOldUns,CoalOldUns_r_ww,p25,r,ww,1444.0
CoalOldUns,CoalOldUns_r_ww,p28,r,ww,651.0
CoalOldUns,CoalOldUns_r_ww,p29,r,ww,762.0
CoalOldUns,CoalOldUns_r_ww,p31,r,ww,2387.0
CoalOldUns,CoalOldUns_r_ww,p33,r,ww,1373.0
CoalOldUns,CoalOldUns_r_ww,p34,r,ww,751.0
CoalOldUns,CoalOldUns_r_ww,p36,r,ww,1351.0
CoalOldUns,CoalOldUns_r_ww,p38,r,ww,474.0
CoalOldUns,CoalOldUns_r_ww,p40,r,ww,1542.0
CoalOldUns,CoalOldUns_r_ww,p41,r,ww,1327.5
CoalOldUns,CoalOldUns_r_ww,p43,r,ww,1741.7999999999997
