Commercial.Online.Year,pca,tech,cap
2010,p61,battery,4.0
2011,p116,battery,32.0
2011,p127,battery,20.0
2011,p31,battery,0.8
2012,p10,battery,1.0
2012,p11,battery,1.0
2012,p11,pumped-hydro,42.0
2012,p31,battery,1.8
2012,p54,battery,1.0
2012,p62,battery,36.0
2012,p9,battery,2.0
2013,p113,battery,20.0
2013,p122,battery,22.0
2013,p44,battery,1.0
2013,p5,battery,5.0
2013,p80,battery,1.5
2013,p9,battery,6.0
2014,p11,battery,2.0
2014,p112,battery,4.0
2014,p3,battery,1.2
2014,p80,battery,20.0
2015,p1,battery,1.0
2015,p10,battery,2.0
2015,p11,battery,3.5
2015,p114,battery,4.0
2015,p116,battery,31.5
2015,p121,battery,11.0
2015,p122,battery,18.0
2015,p126,battery,1.0
2015,p129,battery,2.0
2015,p80,battery,71.1
2015,p94,battery,1.0
2016,p1,battery,3.0
2016,p10,battery,98.0
2016,p106,battery,20.0
2016,p11,battery,2.0
2016,p112,battery,7.0
2016,p113,battery,10.0
2016,p114,battery,6.0
2016,p122,battery,10.4
2016,p132,battery,0.8
2016,p134,battery,16.2
2016,p58,battery,0.5
2016,p65,battery,1.0
2016,p80,battery,19.8
2017,p1,battery,2.4
2017,p10,battery,2.0
2017,p11,battery,39.5
2017,p121,battery,2.0
2017,p127,battery,1.0
2017,p131,battery,3.0
2017,p132,battery,0.8
2017,p30,battery,40.0
2017,p33,battery,1.0
2017,p55,battery,1.2
2017,p60,battery,51.8
2017,p64,battery,9.9
2017,p98,battery,1.0
2018,p10,battery,31.3
2018,p101,battery,14.0
2018,p11,battery,40.0
2018,p129,battery,1.0
2018,p131,battery,3.1
2018,p28,battery,10.0
2018,p38,battery,0.8
2018,p64,battery,1.5
2019,p10,battery,29.900000000000002
2019,p131,battery,1.0
2019,p62,battery,9.9
