Commercial.Online.Year,pca,tech,coolingwatertech,ctt,wst,cap
2010,p10,gas-CT,gas-CT,n,ww,4.3
2010,p10,lfill-gas,lfill-gas_r_ww,r,ww,15.600000000000001
2010,p100,lfill-gas,lfill-gas_r_ww,r,ww,2.0
2010,p101,coal-new,CoalOldScr_r_ww,r,ww,232.0
2010,p101,coal-new,coal-new_r_ww,r,ww,712.0
2010,p101,gas-CC,gas-CC_r_ww,r,ww,295.0
2010,p101,lfill-gas,lfill-gas_r_ww,r,ww,2.4000000000000004
2010,p103,lfill-gas,lfill-gas_r_ww,r,ww,6.0
2010,p105,lfill-gas,lfill-gas_r_ww,r,ww,7.999999999999999
2010,p109,coal-new,coal-new_r_ww,r,ww,409.0
2010,p109,gas-CT,gas-CT,n,ww,176.0
2010,p11,gas-CT,gas-CT,n,ww,146.2
2010,p111,gas-CT,gas-CT,n,ww,1.8
2010,p111,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2010,p112,coal-new,coal-new_r_ww,r,ww,1490.0
2010,p114,o-g-s,o-g-s_r_ww,r,ww,1.2
2010,p115,coal-new,coal-new_r_ww,r,ww,565.0
2010,p117,coal-new,coal-new_r_ww,r,ww,800.0
2010,p12,geothermal,geothermal,n,fsa,15.6
2010,p122,lfill-gas,lfill-gas_r_ww,r,ww,11.2
2010,p123,coal-new,coal-new_r_ww,r,ww,638.0
2010,p123,gas-CT,gas-CT,n,ww,4.3
2010,p125,lfill-gas,lfill-gas_r_ww,r,ww,1.0
2010,p126,gas-CT,gas-CT,n,ww,7.1
2010,p127,gas-CC,gas-CC_r_ww,r,ww,591.0
2010,p127,gas-CT,gas-CT,n,ww,20.400000000000002
2010,p127,lfill-gas,lfill-gas_r_ww,r,ww,10.399999999999999
2010,p128,gas-CT,gas-CT,n,ww,2.5
2010,p129,gas-CT,gas-CT,n,ww,47.7
2010,p131,lfill-gas,lfill-gas_r_ww,r,ww,2.0
2010,p131,o-g-s,o-g-s_r_ww,r,ww,2.8
2010,p132,gas-CC,gas-CC_r_ww,r,ww,12.0
2010,p132,gas-CT,gas-CT,n,ww,227.0
2010,p15,hydro,hydro,n,ww,16.0
2010,p21,hydro,hydro,n,ww,0.8999999999999999
2010,p23,coal-new,CoalOldScr_r_ww,r,ww,100.0
2010,p24,coal-new,CoalOldScr_r_ww,r,ww,220.0
