RetireYear,pca,tech,coolingwatertech,ctt,wst,cap
1978,p25,CoalOldUns,CoalOldUns_r_ww,r,ww,459.0
1978,p36,CoalOldUns,CoalOldUns_r_ww,r,ww,447.0
1979,p81,CoalOldUns,CoalOldUns_r_ww,r,ww,170.0
1980,p33,CoalOldUns,CoalOldUns_r_ww,r,ww,427.0
1980,p82,CoalOldUns,CoalOldUns_r_ww,r,ww,188.0
1983,p25,CoalOldUns,CoalOldUns_r_ww,r,ww,460.0
1984,p24,CoalOldUns,CoalOldUns_r_ww,r,ww,570.0
1985,p31,CoalOldUns,CoalOldUns_r_ww,r,ww,1540.0
1986,p21,CoalOldUns,CoalOldUns_r_ww,r,ww,527.0
1986,p23,CoalOldUns,CoalOldUns_r_ww,r,ww,332.0
1986,p51,CoalOldUns,CoalOldUns_r_ww,r,ww,492.0
1988,p21,CoalOldUns,CoalOldUns_r_ww,r,ww,523.0
1989,p99,CoalOldUns,CoalOldUns_r_ww,r,ww,14.7
1990,p21,CoalOldUns,CoalOldUns_r_ww,r,ww,531.0
1992,p116,CoalOldUns,CoalOldUns_r_ww,r,ww,50.0
1994,p112,CoalOldUns,CoalOldUns_r_ww,r,ww,2709.0
1994,p116,CoalOldUns,CoalOldUns_r_ww,r,ww,2474.0
1994,p122,CoalOldUns,CoalOldUns_r_ww,r,ww,936.0
1995,p107,CoalOldUns,CoalOldUns_r_ww,r,ww,982.0
1995,p122,CoalOldUns,CoalOldUns_r_ww,r,ww,850.0
1995,p127,CoalOldUns,CoalOldUns_r_ww,r,ww,294.0
1995,p92,CoalOldUns,CoalOldUns_r_ww,r,ww,2470.0
1996,p107,CoalOldUns,CoalOldUns_r_ww,r,ww,644.0
1996,p23,coal-new,CoalOldUns_r_ww,r,ww,80.0
1998,p31,CoalOldUns,CoalOldUns_r_ww,r,ww,847.0
1998,p33,CoalOldUns,CoalOldUns_r_ww,r,ww,179.0
1999,p33,CoalOldUns,CoalOldUns_r_ww,r,ww,262.0
2001,p122,CoalOldUns,CoalOldUns_r_ww,r,ww,657.0
2001,p54,coal-new,CoalOldUns_r_ww,r,ww,564.0
2001,p82,CoalOldUns,CoalOldUns_r_ww,r,ww,138.0
2002,p116,CoalOldUns,CoalOldUns_r_ww,r,ww,1109.0
2003,p81,CoalOldUns,CoalOldUns_r_ww,r,ww,120.0
2004,p40,gas-CT,gas-CT,n,ww,0.30000000000000004
2006,p107,CoalOldUns,CoalOldUns_r_ww,r,ww,630.0
2006,p25,CoalOldUns,CoalOldUns_r_ww,r,ww,450.0
2006,p31,hydro,hydro,n,ww,0.2
2006,p97,CoalOldUns,CoalOldUns_r_ww,r,ww,660.0
2007,p101,CoalOldUns,CoalOldUns_r_ww,r,ww,395.0
2007,p107,CoalOldUns,CoalOldUns_r_ww,r,ww,1260.0
2007,p109,CoalOldUns,CoalOldUns_r_ww,r,ww,485.0
2007,p112,CoalOldUns,CoalOldUns_r_ww,r,ww,585.0
2007,p114,CoalOldUns,CoalOldUns_r_ww,r,ww,1020.0
2007,p116,CoalOldUns,CoalOldUns_r_ww,r,ww,1560.0
2007,p117,CoalOldUns,CoalOldUns_r_ww,r,ww,1299.0
2007,p43,CoalOldUns,CoalOldUns_r_ww,r,ww,511.0
2007,p70,CoalOldUns,CoalOldUns_r_ww,r,ww,746.0
2007,p75,coal-new,CoalOldUns_r_ww,r,ww,58.0
2007,p96,CoalOldUns,CoalOldUns_r_ww,r,ww,560.0
2007,p97,CoalOldUns,CoalOldUns_r_ww,r,ww,1398.0
2007,p98,CoalOldUns,CoalOldUns_r_ww,r,ww,1366.0
2008,p105,CoalOldUns,CoalOldUns_r_ww,r,ww,995.0
2008,p107,CoalOldUns,CoalOldUns_r_ww,r,ww,744.0
2008,p109,CoalOldUns,CoalOldUns_r_ww,r,ww,1275.0
2008,p112,CoalOldUns,CoalOldUns_r_ww,r,ww,585.0
2008,p116,CoalOldUns,CoalOldUns_r_ww,r,ww,546.0
2008,p122,CoalOldUns,CoalOldUns_r_ww,r,ww,1504.0
2008,p28,CoalOldUns,CoalOldUns_r_ww,r,ww,380.0
2008,p34,CoalOldUns,CoalOldUns_r_ww,r,ww,335.0
2008,p53,CoalOldUns,CoalOldUns_r_ww,r,ww,1456.0
2008,p70,coal-new,CoalOldUns_r_ww,r,ww,32.0
2008,p92,CoalOldUns,CoalOldUns_r_ww,r,ww,870.0
2008,p94,CoalOldUns,CoalOldUns_r_ww,r,ww,2656.0
2008,p97,CoalOldUns,CoalOldUns_r_ww,r,ww,2220.0
2008,p98,CoalOldUns,CoalOldUns_r_ww,r,ww,1073.0
2008,p99,CoalOldUns,CoalOldUns_r_ww,r,ww,670.0
2009,p101,CoalOldUns,CoalOldUns_r_ww,r,ww,710.0
2009,p103,CoalOldUns,CoalOldUns_r_ww,r,ww,1535.0
2009,p109,CoalOldUns,CoalOldUns_r_ww,r,ww,969.0
2009,p115,CoalOldUns,CoalOldUns_r_ww,r,ww,1700.0
2009,p116,CoalOldUns,CoalOldUns_r_ww,r,ww,552.0
2009,p117,CoalOldUns,CoalOldUns_r_ww,r,ww,1300.0
2009,p122,CoalOldUns,CoalOldUns_r_ww,r,ww,306.0
2009,p123,CoalOldUns,CoalOldUns_r_ww,r,ww,3026.0
2009,p28,CoalOldUns,CoalOldUns_r_ww,r,ww,271.0
2009,p43,CoalOldUns,CoalOldUns_r_ww,r,ww,364.0
2009,p45,CoalOldUns,CoalOldUns_r_ww,r,ww,708.0
2009,p53,CoalOldUns,CoalOldUns_r_ww,r,ww,733.0
2009,p54,CoalOldUns,CoalOldUns_r_ww,r,ww,700.0
2009,p89,CoalOldUns,CoalOldUns_r_ww,r,ww,687.0
2009,p91,CoalOldUns,CoalOldUns_r_ww,r,ww,924.0
2009,p94,CoalOldUns,CoalOldUns_r_ww,r,ww,1596.0
2009,p97,CoalOldUns,CoalOldUns_r_ww,r,ww,1098.0
2009,p98,CoalOldUns,CoalOldUns_r_ww,r,ww,728.0
2010,p101,CoalOldUns,CoalOldUns_r_ww,r,ww,944.0
2010,p109,CoalOldUns,CoalOldUns_r_ww,r,ww,409.0
2010,p112,CoalOldUns,CoalOldUns_r_ww,r,ww,1490.0
2010,p115,CoalOldUns,CoalOldUns_r_ww,r,ww,565.0
2010,p117,CoalOldUns,CoalOldUns_r_ww,r,ww,800.0
2010,p123,CoalOldUns,CoalOldUns_r_ww,r,ww,638.0
2010,p24,CoalOldUns,CoalOldUns_r_ww,r,ww,220.0
2010,p72,CoalOldUns,CoalOldUns_r_ww,r,ww,974.0
2010,p77,CoalOldUns,CoalOldUns_r_ww,r,ww,308.0
2010,p81,CoalOldUns,CoalOldUns_r_ww,r,ww,621.0
2010,p89,CoalOldUns,CoalOldUns_r_ww,r,ww,2226.0
2010,p90,CoalOldUns,CoalOldUns_r_ww,r,ww,756.0
2010,p92,CoalOldUns,CoalOldUns_r_ww,r,ww,1398.0
2010,p94,CoalOldUns,CoalOldUns_r_ww,r,ww,724.0
2010,p96,CoalOldUns,CoalOldUns_r_ww,r,ww,1289.0
2010,p97,CoalOldUns,CoalOldUns_r_ww,r,ww,544.0
2011,p112,CoalOldUns,CoalOldUns_r_ww,r,ww,576.0
2011,p117,CoalOldUns,CoalOldUns_r_ww,r,ww,800.0
2011,p130,CoalOldUns,CoalOldUns_r_ww,r,ww,438.0
2011,p21,CoalOldUns,CoalOldUns_r_ww,r,ww,201.0
2011,p29,CoalOldUns,CoalOldUns_r_ww,r,ww,382.0
