Commercial.Online.Year,pca,tech,coolingwatertech,cap
2010,p10,gas-CC,none,345.0
2010,p10,gas-CT,none,4.3
2010,p10,lfill-gas,none,18.900000000000002
2010,p100,lfill-gas,none,2.0
2010,p101,coal-new,none,944.0
2010,p101,gas-CC,none,295.0
2010,p101,lfill-gas,none,0.8
2010,p103,lfill-gas,none,6.0
2010,p105,lfill-gas,none,7.999999999999999
2010,p109,coal-new,none,681.0
2010,p109,gas-CT,none,176.0
2010,p11,gas-CT,none,146.2
2010,p111,gas-CT,none,1.8
2010,p111,lfill-gas,none,6.0
2010,p112,coal-new,none,2210.0
2010,p114,o-g-s,none,1.2
2010,p115,coal-new,none,565.0
2010,p117,coal-new,none,800.0
2010,p12,geothermal,none,12.5
2010,p121,lfill-gas,none,2.0
2010,p122,lfill-gas,none,11.2
2010,p123,coal-new,none,638.0
2010,p123,gas-CT,none,4.3
2010,p125,lfill-gas,none,1.0
2010,p126,gas-CT,none,7.1
2010,p127,gas-CC,none,591.0
2010,p127,gas-CT,none,15.700000000000003
2010,p127,lfill-gas,none,15.799999999999997
2010,p128,gas-CT,none,2.5
2010,p13,o-g-s,none,6.5
2010,p131,lfill-gas,none,2.0
2010,p131,o-g-s,none,3.1
2010,p132,gas-CT,none,239.0
2010,p15,hydro,none,16.0
2010,p21,hydro,none,0.8999999999999999
2010,p23,coal-new,none,100.0
2010,p24,coal-new,none,220.0
2010,p25,gas-CT,none,42.699999999999996
2010,p28,lfill-gas,none,2.8
2010,p34,coal-new,none,750.0
2010,p35,gas-CT,none,90.8
2010,p40,gas-CT,none,3.0
2010,p43,gas-CT,none,11.5
2010,p43,lfill-gas,none,5.8
2010,p5,gas-CC,none,5.7
2010,p5,hydro,none,3.3
2010,p5,lfill-gas,none,4.8
2010,p50,gas-CT,none,5.0
2010,p53,lfill-gas,none,7.1
2010,p54,coal-new,none,882.0
2010,p56,gas-CT,none,40.0
2010,p56,lfill-gas,none,4.0
2010,p58,coal-new,none,628.0
2010,p58,gas-CC,none,507.0
2010,p58,gas-CT,none,1.8
2010,p63,coal-new,none,825.0
2010,p63,gas-CC,none,200.0
2010,p63,gas-CT,none,24.0
2010,p63,lfill-gas,none,4.800000000000001
2010,p64,gas-CC,none,33.0
2010,p64,gas-CT,none,317.7
2010,p64,lfill-gas,none,3.2
2010,p65,coal-new,none,785.0
2010,p65,gas-CC,none,628.0
2010,p65,gas-CT,none,392.5999999999997
2010,p67,gas-CT,none,52.3
2010,p70,lfill-gas,none,2.8
2010,p72,coal-new,none,972.0
2010,p76,lfill-gas,none,1.4
2010,p77,coal-new,none,290.0
2010,p79,coal-new,none,634.0
2010,p79,lfill-gas,none,2.9
2010,p8,gas-CT,none,5.0
2010,p80,gas-CT,none,6.0
2010,p80,lfill-gas,none,3.2
2010,p81,coal-new,none,1186.0
2010,p81,hydro,none,0.6
2010,p85,coal-new,none,670.0
2010,p89,coal-new,none,2195.0
2010,p89,lfill-gas,none,0.8
2010,p9,gas-CC,none,640.0
2010,p9,gas-CT,none,157.1
2010,p9,lfill-gas,none,1.4
2010,p9,o-g-s,none,2.6
2010,p90,coal-new,none,726.0
2010,p90,gas-CC,none,721.8
2010,p90,gas-CT,none,350.0
2010,p91,lfill-gas,none,3.0
