resource_region,tech,RetireYear,cap
4,wind-ons,2036,228.6
4,wind-ons,2039,44.0
5,wind-ons,2036,199.0
5,wind-ons,2037,204.0
5,wind-ons,2038,94.0
5,wind-ons,2039,497.4
9,wind-ons,2031,176.9
9,wind-ons,2032,95.0
9,wind-ons,2035,149.4
9,wind-ons,2037,140.4
9,wind-ons,2038,77.4
16,wind-ons,2028,25.0
16,wind-ons,2031,147.4
16,wind-ons,2032,49.2
16,wind-ons,2033,41.0
16,wind-ons,2035,75.0
16,wind-ons,2036,100.5
16,wind-ons,2037,447.09999999999997
16,wind-ons,2038,179.4
16,wind-ons,2039,704.8999999999999
25,wind-ons,2020,15.5
25,wind-ons,2024,13.1
25,wind-ons,2033,162.0
25,wind-ons,2034,18.0
25,wind-ons,2036,212.0
25,wind-ons,2037,63.0
25,wind-ons,2039,150.0
30,wind-ons,2011,19.6
30,wind-ons,2012,3.5
30,wind-ons,2014,104.7
30,wind-ons,2015,36.9
30,wind-ons,2016,32.9
30,wind-ons,2017,25.3
30,wind-ons,2019,85.0
30,wind-ons,2020,130.9
30,wind-ons,2021,76.9
30,wind-ons,2022,6.5
30,wind-ons,2023,4.2
30,wind-ons,2024,46.9
30,wind-ons,2027,13.6
30,wind-ons,2029,26.8
30,wind-ons,2030,1.5
30,wind-ons,2032,8.3
30,wind-ons,2034,64.5
30,wind-ons,2035,10.5
30,wind-ons,2039,135.0
32,wind-ons,2035,50.0
33,wind-ons,2013,31.0
33,wind-ons,2014,49.9
33,wind-ons,2015,14.7
33,wind-ons,2016,5.9
33,wind-ons,2017,16.0
33,wind-ons,2018,9.6
33,wind-ons,2019,53.6
33,wind-ons,2020,57.4
33,wind-ons,2029,83.1
33,wind-ons,2031,66.6
33,wind-ons,2032,102.5
33,wind-ons,2033,22.4
33,wind-ons,2038,65.0
33,wind-ons,2039,6.5
44,wind-ons,2035,10.5
44,wind-ons,2038,42.0
46,wind-ons,2039,29.4
47,wind-ons,2036,64.5
48,wind-ons,2039,203.5
49,wind-ons,2038,18.9
54,wind-ons,2039,63.0
64,wind-ons,2036,9.0
64,wind-ons,2038,104.2
64,wind-ons,2039,101.4
66,wind-ons,2035,135.0
71,wind-ons,2033,144.0
71,wind-ons,2038,141.0
74,wind-ons,2028,1.2
74,wind-ons,2029,71.50000000000001
74,wind-ons,2030,18.2
74,wind-ons,2031,50.0
74,wind-ons,2038,246.9
74,wind-ons,2039,423.5
85,wind-ons,2028,5.2
85,wind-ons,2031,29.7
85,wind-ons,2036,60.0
85,wind-ons,2037,780.0
85,wind-ons,2039,174.3
87,wind-ons,2033,162.0
87,wind-ons,2034,5.5
87,wind-ons,2037,75.0
92,wind-ons,2039,100.0
93,wind-ons,2036,90.0
96,wind-ons,2037,30.0
99,wind-ons,2033,2.6
99,wind-ons,2035,11.9
99,wind-ons,2037,159.0
99,wind-ons,2038,40.5
99,wind-ons,2039,438.5
100,wind-ons,2035,31.5
100,wind-ons,2036,68.6
100,wind-ons,2037,48.0
100,wind-ons,2039,49.5
101,wind-ons,2038,180.0
102,wind-ons,2033,61.5
102,wind-ons,2038,196.5
110,wind-ons,2031,2.6
110,wind-ons,2033,40.5
110,wind-ons,2039,76.0
112,wind-ons,2039,50.4
116,wind-ons,2035,59.4
118,wind-ons,2039,81.0
119,wind-ons,2028,0.7
119,wind-ons,2029,0.7
120,wind-ons,2029,0.7
120,wind-ons,2031,2.5999999999999996
121,wind-ons,2035,0.4
121,wind-ons,2039,4.0
122,wind-ons,2034,1.7
122,wind-ons,2035,1.7
123,wind-ons,2022,11.6
123,wind-ons,2028,104.5
123,wind-ons,2029,138.70000000000002
123,wind-ons,2030,3.8
123,wind-ons,2031,29.799999999999997
123,wind-ons,2032,7.4
