tech,pca,coolingwatertech,cap
CoalOldScr,p10,none,54.0
CoalOldScr,p101,none,2528.0
CoalOldScr,p103,none,130.0
CoalOldScr,p105,none,1202.0
CoalOldScr,p107,none,3151.0
CoalOldScr,p108,none,1271.0
CoalOldScr,p109,none,2279.0
CoalOldScr,p112,none,3348.0
CoalOldScr,p114,none,1344.0
CoalOldScr,p115,none,2510.0
CoalOldScr,p116,none,3892.0
CoalOldScr,p12,none,268.0
CoalOldScr,p122,none,1556.0
CoalOldScr,p126,none,463.0
CoalOldScr,p127,none,686.0
CoalOldScr,p2,none,670.0
CoalOldScr,p20,none,2129.0
CoalOldScr,p21,none,2111.0
CoalOldScr,p23,none,332.0
CoalOldScr,p24,none,1710.0
CoalOldScr,p25,none,3671.0
CoalOldScr,p26,none,458.0
CoalOldScr,p28,none,291.0
CoalOldScr,p29,none,1552.0
CoalOldScr,p31,none,1787.0
CoalOldScr,p33,none,1584.0
CoalOldScr,p34,none,100.0
CoalOldScr,p35,none,53.0
CoalOldScr,p36,none,1851.0
CoalOldScr,p37,none,1141.0
CoalOldScr,p43,none,2238.0
CoalOldScr,p50,none,320.0
CoalOldScr,p51,none,520.0
CoalOldScr,p52,none,359.0
CoalOldScr,p55,none,184.0
CoalOldScr,p57,none,1516.0
CoalOldScr,p58,none,845.0
CoalOldScr,p60,none,650.0
CoalOldScr,p63,none,5004.0
CoalOldScr,p64,none,905.0
CoalOldScr,p65,none,951.0
CoalOldScr,p67,none,610.0
CoalOldScr,p70,none,158.0
CoalOldScr,p72,none,240.0
CoalOldScr,p74,none,41.0
CoalOldScr,p81,none,170.0
CoalOldScr,p82,none,188.0
CoalOldScr,p90,none,318.0
CoalOldScr,p96,none,1140.0
CoalOldScr,p98,none,116.0
CoalOldScr,p99,none,267.4
CoalOldUns,p101,none,2819.0
CoalOldUns,p103,none,8908.5
CoalOldUns,p105,none,2877.2
CoalOldUns,p107,none,8426.0
CoalOldUns,p108,none,2126.0
CoalOldUns,p109,none,4007.0
CoalOldUns,p111,none,687.0
CoalOldUns,p112,none,8814.599999999999
CoalOldUns,p114,none,1020.0
CoalOldUns,p115,none,2265.0
CoalOldUns,p116,none,6291.0
CoalOldUns,p117,none,4199.0
CoalOldUns,p118,none,2.5
CoalOldUns,p12,none,254.0
CoalOldUns,p122,none,5484.0
CoalOldUns,p123,none,4354.0
CoalOldUns,p125,none,410.0
