Nuke60RetireYear,pca,tech,coolingwatertech,cap
1965,p40,gas-CT,none,0.5
1973,p28,CoalOldUns,none,116.0
1975,p106,o-g-s,none,1.6
1975,p35,CoalOldUns,none,53.0
1977,p112,CoalOldUns,none,375.0
1977,p40,gas-CT,none,0.1
1977,p55,CoalOldUns,none,184.0
1978,p25,CoalOldUns,none,459.0
1978,p36,CoalOldUns,none,447.0
1978,p45,gas-CT,none,0.4
1979,p53,gas-CT,none,0.3
1979,p81,CoalOldUns,none,170.0
1980,p41,gas-CT,none,0.6
1980,p46,gas-CT,none,0.2
1980,p53,gas-CT,none,0.3
1980,p82,CoalOldUns,none,188.0
1981,p109,CoalOldUns,none,300.0
1981,p39,gas-CT,none,0.6
1982,p77,gas-CT,none,0.4
1983,p25,CoalOldUns,none,460.0
1984,p109,gas-CT,none,0.8
1984,p24,CoalOldUns,none,570.0
1985,p31,CoalOldUns,none,1540.0
1985,p54,gas-CT,none,0.2
1986,p21,CoalOldUns,none,527.0
1986,p23,CoalOldUns,none,332.0
1986,p40,gas-CT,none,0.5
1986,p41,gas-CT,none,0.4
1986,p50,gas-CT,none,1.2000000000000002
1986,p51,CoalOldUns,none,520.0
1986,p72,gas-CT,none,0.6
1987,p37,gas-CT,none,0.6
1987,p40,gas-CT,none,0.1
1987,p41,gas-CT,none,0.9
1988,p103,gas-CT,none,1.9
1988,p106,o-g-s,none,14.599999999999998
1988,p21,CoalOldUns,none,523.0
1988,p54,o-g-s,none,1.1
1988,p80,o-g-s,none,7.0
1989,p34,gas-CT,none,0.9
1989,p46,gas-CT,none,0.4
1989,p50,gas-CT,none,0.6
1989,p52,gas-CT,none,0.7
1989,p53,gas-CT,none,0.7
1989,p70,gas-CT,none,0.1
1989,p99,CoalOldUns,none,25.4
1990,p21,CoalOldUns,none,531.0
1990,p46,gas-CT,none,0.4
1990,p70,gas-CT,none,0.4
1990,p80,gas-CT,none,0.6
1990,p81,gas-CT,none,0.4
1991,p105,CoalOldUns,none,480.0
1991,p34,gas-CT,none,0.6
1991,p68,o-g-s,none,1.6
1991,p69,gas-CT,none,0.3
1991,p70,gas-CT,none,0.3
1991,p71,gas-CT,none,0.2
1991,p75,hydro,none,3.3999999999999995
1991,p99,CoalOldScr,none,10.7
1992,p116,CoalOldUns,none,50.0
1992,p34,gas-CT,none,1.0
1992,p40,gas-CT,none,0.2
1992,p43,o-g-s,none,1.0
1993,p131,hydro,none,0.6
1994,p108,CoalOldUns,none,400.0
1994,p112,CoalOldUns,none,2598.0
1994,p116,CoalOldUns,none,2474.0
1994,p122,CoalOldUns,none,934.0
1994,p39,gas-CT,none,0.6
1994,p43,gas-CT,none,0.6
1995,p103,gas-CT,none,0.6
1995,p107,CoalOldUns,none,982.0
1995,p108,CoalOldUns,none,312.0
1995,p122,CoalOldUns,none,850.0
1995,p127,CoalOldUns,none,305.0
1995,p127,o-g-s,none,30.0
1995,p33,gas-CT,none,0.2
1995,p40,gas-CT,none,0.7
1995,p43,gas-CT,none,0.8
1995,p46,gas-CT,none,0.6
1995,p54,gas-CT,none,0.6
1995,p70,gas-CT,none,0.2
1995,p71,gas-CT,none,0.2
1995,p75,gas-CT,none,0.1
1995,p92,CoalOldUns,none,2470.0
1996,p107,CoalOldUns,none,644.0
1996,p112,gas-CT,none,0.6
1996,p25,hydro,none,1.2
1996,p33,gas-CT,none,0.2
1996,p40,gas-CT,none,0.30000000000000004
1996,p41,gas-CT,none,0.8
1996,p43,gas-CT,none,0.8
1996,p45,gas-CT,none,1.1
1996,p50,gas-CT,none,0.9
1996,p55,gas-CT,none,2.0
1996,p70,gas-CT,none,0.2
1996,p72,gas-CT,none,1.0
1996,p76,hydro,none,1.2000000000000002
1996,p80,gas-CT,none,0.7
1996,p81,gas-CT,none,0.2
1996,p83,gas-CT,none,0.6
1997,p103,gas-CT,none,1.7000000000000002
1997,p109,gas-CT,none,1.1
1997,p28,CoalOldUns,none,750.0
1997,p40,gas-CT,none,2.3
1997,p41,gas-CT,none,1.1
1997,p45,gas-CT,none,0.9
1997,p46,gas-CT,none,1.0
1997,p53,gas-CT,none,0.6
1997,p54,gas-CT,none,2.8
1997,p68,o-g-s,none,1.6
1997,p70,gas-CT,none,0.5
1998,p103,gas-CT,none,1.9
1998,p111,gas-CT,none,1.0
1998,p112,gas-CT,none,2.5
1998,p134,biopower,none,56.400000000000006
1998,p134,gas-CT,none,6.0
1998,p28,CoalOldUns,none,750.0
1998,p31,CoalOldUns,none,847.0
1998,p33,CoalOldUns,none,179.0
1998,p41,gas-CT,none,0.6
1998,p42,gas-CT,none,1.2
1998,p43,gas-CT,none,3.1
1998,p45,gas-CT,none,0.3
1998,p46,gas-CT,none,0.7
1998,p53,gas-CT,none,1.1
1998,p53,o-g-s,none,3.0
1998,p70,gas-CT,none,0.6
1998,p80,o-g-s,none,7.0
1998,p81,gas-CT,none,1.7000000000000002
1998,p83,gas-CT,none,1.1
1999,p10,hydro,none,3.2
1999,p101,CoalOldUns,none,770.0
1999,p103,gas-CT,none,2.0
1999,p109,gas-CT,none,1.2
1999,p112,gas-CT,none,0.6
1999,p128,gas-CT,none,2.2
1999,p33,CoalOldUns,none,262.0
1999,p37,gas-CT,none,0.8
1999,p39,gas-CT,none,1.0
1999,p40,gas-CT,none,1.9000000000000001
1999,p41,gas-CT,none,0.9
1999,p45,gas-CT,none,1.1
1999,p46,gas-CT,none,1.4
1999,p50,gas-CT,none,0.8
1999,p51,gas-CT,none,1.1
1999,p53,gas-CT,none,1.0
1999,p55,gas-CT,none,2.2
1999,p58,o-g-s,none,4.4
1999,p68,gas-CT,none,0.8
1999,p80,gas-CT,none,0.5
1999,p90,o-g-s,none,130.0
2000,p103,gas-CT,none,0.8
2000,p105,gas-CT,none,1.8
2000,p127,o-g-s,none,75.0
2000,p34,gas-CT,none,0.7
2000,p41,gas-CT,none,1.4
2000,p45,gas-CT,none,0.7
2000,p53,gas-CT,none,2.6999999999999997
2000,p68,gas-CT,none,1.1
2000,p75,hydro,none,2.8
2000,p81,gas-CT,none,1.3
2001,p103,gas-CT,none,0.9
2001,p103,hydro,none,0.8
2001,p112,gas-CT,none,0.8
2001,p122,CoalOldUns,none,653.0
2001,p127,o-g-s,none,61.0
2001,p131,gas-CT,none,3.7
2001,p134,gas-CT,none,1.0
2001,p25,o-g-s,none,64.0
2001,p33,gas-CT,none,0.7
2001,p34,gas-CT,none,2.0
2001,p40,gas-CT,none,2.5
2001,p43,gas-CT,none,1.1
2001,p43,o-g-s,none,1.0
2001,p45,gas-CT,none,0.7
2001,p46,hydro,none,1.4
2001,p52,gas-CT,none,0.6
2001,p53,gas-CT,none,3.5
2001,p54,coal-new,none,564.0
2001,p58,gas-CT,none,1.2
2001,p69,gas-CT,none,0.4
2001,p70,gas-CT,none,2.0
2001,p75,gas-CT,none,0.2
2001,p76,o-g-s,none,0.7
2001,p81,gas-CT,none,1.2
2001,p82,CoalOldUns,none,138.0
2001,p83,gas-CT,none,1.6
2002,p103,gas-CT,none,1.0
2002,p105,gas-CT,none,2.0
2002,p109,gas-CT,none,1.4
2002,p116,CoalOldUns,none,1109.0
2002,p122,o-g-s,none,88.0
2002,p127,hydro,none,0.4
2002,p25,o-g-s,none,69.0
2002,p40,gas-CT,none,0.8999999999999999
2002,p41,gas-CT,none,2.2
2002,p42,gas-CT,none,1.0
2002,p45,gas-CT,none,0.7
2002,p50,o-g-s,none,78.0
2002,p52,gas-CT,none,0.6
2002,p55,gas-CT,none,3.5
2002,p68,gas-CT,none,1.7000000000000002
2002,p71,gas-CT,none,0.7
2002,p75,gas-CT,none,0.1
2002,p77,gas-CT,none,0.9
2002,p85,gas-CT,none,0.6
2002,p9,hydro,none,1.0
2003,p10,hydro,none,1.0
2003,p10,lfill-gas,none,18.0
2003,p127,hydro,none,0.4
2003,p132,hydro,none,8.4
2003,p134,hydro,none,3.2
2003,p34,o-g-s,none,16.0
2003,p40,gas-CT,none,2.5
2003,p41,gas-CT,none,2.2
2003,p43,gas-CT,none,1.0
2003,p43,o-g-s,none,88.0
2003,p50,o-g-s,none,24.0
2003,p52,gas-CT,none,0.9
2003,p53,gas-CT,none,2.0
2003,p58,gas-CT,none,0.6
2003,p58,o-g-s,none,23.5
2003,p68,gas-CT,none,1.3
2003,p70,gas-CT,none,0.7
2003,p76,hydro,none,4.199999999999999
2003,p8,hydro,none,0.4
2003,p81,gas-CT,none,3.9
2003,p91,o-g-s,none,8.100000000000001
2003,p94,hydro,none,10.5
2003,p99,hydro,none,12.5
2004,p1,hydro,none,17.900000000000002
2004,p10,hydro,none,6.6
2004,p109,gas-CT,none,1.4
2004,p12,hydro,none,1.8
2004,p123,gas-CT,none,2.0
2004,p127,o-g-s,none,60.0
2004,p128,gas-CT,none,8.4
2004,p131,gas-CT,none,1.3
2004,p132,o-g-s,none,81.0
2004,p134,hydro,none,0.7
2004,p34,o-g-s,none,16.0
2004,p40,gas-CT,none,0.4
2004,p43,biopower,none,6.2
2004,p45,gas-CT,none,2.0
2004,p46,biopower,none,18.0
2004,p46,gas-CT,none,2.5
2004,p50,gas-CT,none,1.6
2004,p50,o-g-s,none,78.0
2004,p51,gas-CT,none,1.2
2004,p52,gas-CT,none,0.6
2004,p53,gas-CT,none,1.1
2004,p58,o-g-s,none,42.6
2004,p66,o-g-s,none,38.0
2004,p68,gas-CT,none,3.1
2004,p80,gas-CT,none,2.0
2004,p81,gas-CT,none,0.2
2004,p94,biopower,none,5.9
2005,p10,hydro,none,2.0
2005,p103,gas-CT,none,1.8
2005,p122,hydro,none,19.0
2005,p129,hydro,none,2.0999999999999996
2005,p131,hydro,none,1.4
2005,p34,hydro,none,2.3
2005,p39,gas-CT,none,3.2
2005,p40,gas-CT,none,3.3
2005,p41,gas-CT,none,2.0
2005,p46,gas-CT,none,1.7999999999999998
2005,p48,o-g-s,none,93.0
2005,p53,gas-CT,none,7.6000000000000005
2005,p54,gas-CT,none,0.6
2005,p68,gas-CT,none,1.7
2005,p70,gas-CT,none,2.3
2005,p74,hydro,none,3.9000000000000004
2005,p85,gas-CT,none,1.1
2005,p87,gas-CC,none,5.6
2005,p96,o-g-s,none,95.0
2006,p1,hydro,none,2.8
2006,p10,hydro,none,2.0
2006,p107,CoalOldUns,none,695.0
2006,p108,CoalOldUns,none,1414.0
2006,p131,gas-CT,none,4.7
2006,p131,hydro,none,1.4
2006,p132,hydro,none,0.8
2006,p134,hydro,none,3.2
2006,p14,hydro,none,8.399999999999999
2006,p17,hydro,none,6.0
2006,p25,CoalOldUns,none,450.0
2006,p33,hydro,none,0.8
2006,p34,hydro,none,6.1
2006,p37,gas-CT,none,2.6
2006,p39,gas-CT,none,0.7
2006,p40,gas-CT,none,3.7
2006,p42,gas-CT,none,1.9
2006,p43,hydro,none,1.0
2006,p45,gas-CT,none,0.9
2006,p46,gas-CT,none,1.3
2006,p50,gas-CT,none,6.8
2006,p52,gas-CT,none,0.9
2006,p53,gas-CT,none,5.5
2006,p70,gas-CT,none,3.5
2006,p71,gas-CT,none,0.7
2006,p79,CoalOldUns,none,594.0
