resource_region,tech,RetireYear,cap
1,wind-ons,2040,6.0
4,wind-ons,2040,190.7
5,wind-ons,2040,50.0
16,wind-ons,2040,331.7
20,wind-ons,2040,101.2
25,wind-ons,2040,36.8
26,wind-ons,2040,1.5
44,wind-ons,2040,22.5
46,wind-ons,2040,58.8
47,wind-ons,2040,124.5
54,wind-ons,2040,65.1
74,wind-ons,2040,311.0
82,wind-ons,2040,3.8
84,wind-ons,2040,1.8
86,wind-ons,2040,51.0
89,wind-ons,2040,102.4
98,wind-ons,2040,19.5
100,wind-ons,2040,139.2
102,wind-ons,2040,62.4
112,wind-ons,2040,309.0
119,wind-ons,2040,60.0
121,wind-ons,2040,20.0
123,wind-ons,2040,204.5
136,wind-ons,2040,60.5
144,wind-ons,2040,150.0
150,wind-ons,2040,20.0
153,wind-ons,2040,251.0
156,wind-ons,2040,99.2
172,wind-ons,2040,150.0
174,wind-ons,2040,401.1
176,wind-ons,2040,148.8
178,wind-ons,2040,3.0
180,wind-ons,2040,3.0
197,wind-ons,2040,20.0
207,wind-ons,2040,500.0
221,wind-ons,2040,301.2
226,wind-ons,2040,2.0
249,wind-ons,2040,100.5
253,wind-ons,2040,70.0
318,wind-ons,2040,2.0
347,wind-ons,2040,3.0
349,wind-ons,2040,1.7
355,wind-ons,2040,66.0
356,wind-ons,2040,25.5
