Nuke60RetireYear,pca,tech,coolingwatertech,cap
1973,p28,CoalOldUns,none,116.0
1975,p35,CoalOldUns,none,53.0
1977,p112,CoalOldUns,none,375.0
1977,p55,CoalOldUns,none,184.0
1978,p25,CoalOldUns,none,459.0
1978,p36,CoalOldUns,none,447.0
1979,p81,CoalOldUns,none,170.0
1980,p82,CoalOldUns,none,188.0
1981,p109,CoalOldUns,none,300.0
1983,p25,CoalOldUns,none,460.0
1984,p24,CoalOldUns,none,570.0
1985,p31,CoalOldUns,none,1540.0
1986,p21,CoalOldUns,none,527.0
1986,p23,CoalOldUns,none,332.0
1986,p51,CoalOldUns,none,520.0
1988,p21,CoalOldUns,none,523.0
1989,p99,CoalOldUns,none,25.4
1990,p21,CoalOldUns,none,531.0
1991,p105,CoalOldUns,none,480.0
1992,p116,CoalOldUns,none,50.0
1994,p108,CoalOldUns,none,400.0
1994,p112,CoalOldUns,none,2598.0
1994,p116,CoalOldUns,none,2474.0
1994,p122,CoalOldUns,none,934.0
1995,p107,CoalOldUns,none,982.0
1995,p108,CoalOldUns,none,312.0
1995,p122,CoalOldUns,none,850.0
1995,p127,CoalOldUns,none,305.0
1995,p92,CoalOldUns,none,2470.0
1996,p107,CoalOldUns,none,644.0
1997,p28,CoalOldUns,none,750.0
1998,p28,CoalOldUns,none,750.0
1998,p31,CoalOldUns,none,847.0
1998,p33,CoalOldUns,none,179.0
1999,p101,CoalOldUns,none,770.0
1999,p33,CoalOldUns,none,262.0
2001,p122,CoalOldUns,none,653.0
2001,p54,coal-new,none,564.0
2001,p82,CoalOldUns,none,138.0
2002,p116,CoalOldUns,none,1109.0
2006,p107,CoalOldUns,none,695.0
2006,p108,CoalOldUns,none,1414.0
2006,p25,CoalOldUns,none,450.0
2006,p79,CoalOldUns,none,594.0
2006,p97,CoalOldUns,none,660.0
2007,p101,CoalOldUns,none,395.0
2007,p107,CoalOldUns,none,1260.0
2007,p109,CoalOldUns,none,485.0
2007,p112,CoalOldUns,none,590.0
2007,p114,CoalOldUns,none,1020.0
2007,p116,CoalOldUns,none,1560.0
2007,p117,CoalOldUns,none,1299.0
2007,p43,CoalOldUns,none,587.0
2007,p70,CoalOldUns,none,746.0
2007,p79,CoalOldUns,none,594.0
2007,p96,CoalOldUns,none,560.0
2007,p97,CoalOldUns,none,1398.0
2007,p98,CoalOldUns,none,1369.0
2008,p105,CoalOldUns,none,995.0
2008,p107,CoalOldUns,none,754.0
2008,p109,CoalOldUns,none,1275.0
2008,p112,CoalOldUns,none,580.0
2008,p116,CoalOldUns,none,546.0
2008,p122,CoalOldUns,none,1504.0
2008,p28,CoalOldUns,none,380.0
2008,p34,CoalOldUns,none,660.0
2008,p43,CoalOldUns,none,79.0
2008,p53,CoalOldUns,none,1440.0
2008,p70,coal-new,none,32.0
2008,p89,CoalOldUns,none,1034.0
2008,p90,CoalOldUns,none,238.0
2008,p92,CoalOldUns,none,870.0
2008,p94,CoalOldUns,none,3496.0
2008,p97,CoalOldUns,none,2220.0
2008,p98,CoalOldUns,none,1071.0
2008,p99,CoalOldUns,none,762.3999999999999
2009,p101,CoalOldUns,none,710.0
2009,p103,CoalOldUns,none,1535.0
2009,p109,CoalOldUns,none,969.0
2009,p112,CoalOldUns,none,780.0
2009,p115,CoalOldUns,none,1700.0
2009,p116,CoalOldUns,none,552.0
2009,p117,CoalOldUns,none,1300.0
2009,p122,CoalOldUns,none,306.0
2009,p123,CoalOldUns,none,3026.0
2009,p28,CoalOldUns,none,271.0
2009,p43,CoalOldUns,none,364.0
2009,p45,CoalOldUns,none,704.0
2009,p53,CoalOldUns,none,715.0
