County,State,resource_region,pca
San Juan,Washington,2,p1
Skagit,Washington,2,p1
Whatcom,Washington,2,p1
Island,Washington,3,p1
King,Washington,3,p1
Kitsap,Washington,3,p1
Pierce,Washington,3,p1
Snohomish,Washington,3,p1
Thurston,Washington,3,p1
Chelan,Washington,4,p1
Kittitas,Washington,4,p1
Clallam,Washington,1,p2
Grays Harbor,Washington,1,p2
Jefferson,Washington,1,p2
Mason,Washington,1,p2
Pacific,Washington,1,p2
Wahkiakum,Washington,1,p2
Clark,Washington,5,p2
Cowlitz,Washington,5,p2
Klickitat,Washington,5,p2
Lewis,Washington,5,p2
Skamania,Washington,5,p2
Yakima,Washington,5,p2
Asotin,Washington,9,p2
Benton,Washington,9,p2
Columbia,Washington,9,p2
Garfield,Washington,9,p2
Walla Walla,Washington,9,p2
Okanogan,Washington,6,p3
Adams,Washington,8,p3
Ferry,Washington,8,p3
Franklin,Washington,8,p3
Lincoln,Washington,8,p3
Pend Oreille,Washington,8,p3
Spokane,Washington,8,p3
Stevens,Washington,8,p3
Whitman,Washington,8,p3
Douglas,Washington,7,p4
Grant,Washington,7,p4
Clatsop,Oregon,10,p5
Columbia,Oregon,10,p5
Tillamook,Oregon,10,p5
Multnomah,Oregon,11,p5
Washington,Oregon,11,p5
Clackamas,Oregon,12,p5
Marion,Oregon,12,p5
Yamhill,Oregon,12,p5
Benton,Oregon,13,p5
Lane,Oregon,13,p5
Lincoln,Oregon,13,p5
Linn,Oregon,13,p5
Polk,Oregon,13,p5
Gilliam,Oregon,16,p5
Hood River,Oregon,16,p5
Morrow,Oregon,16,p5
Sherman,Oregon,16,p5
Umatilla,Oregon,16,p5
Union,Oregon,16,p5
Wallowa,Oregon,16,p5
Wasco,Oregon,16,p5
Crook,Oregon,17,p5
Deschutes,Oregon,17,p5
Grant,Oregon,17,p5
Jefferson,Oregon,17,p5
Wheeler,Oregon,17,p5
Coos,Oregon,14,p6
Curry,Oregon,14,p6
Josephine,Oregon,14,p6
Douglas,Oregon,15,p6
Jackson,Oregon,15,p6
Klamath,Oregon,15,p6
Harney,Oregon,18,p7
Lake,Oregon,18,p7
Baker,Oregon,19,p7
Malheur,Oregon,19,p7
Lassen,California,21,p8
Modoc,California,21,p8
Siskiyou,California,21,p8
Del Norte,California,20,p9
Humboldt,California,20,p9
Mendocino,California,20,p9
Shasta,California,20,p9
Tehama,California,20,p9
Trinity,California,20,p9
Colusa,California,22,p9
Glenn,California,22,p9
Lake,California,22,p9
Yolo,California,22,p9
Butte,California,23,p9
Sutter,California,23,p9
Yuba,California,23,p9
Alpine,California,24,p9
Amador,California,24,p9
Calaveras,California,24,p9
El Dorado,California,24,p9
Nevada,California,24,p9
Placer,California,24,p9
Plumas,California,24,p9
Sierra,California,24,p9
Alameda,California,25,p9
Contra Costa,California,25,p9
Marin,California,25,p9
Napa,California,25,p9
San Francisco,California,25,p9
San Mateo,California,25,p9
Santa Clara,California,25,p9
Santa Cruz,California,25,p9
Solano,California,25,p9
Sonoma,California,25,p9
Merced,California,26,p9
Sacramento,California,26,p9
San Joaquin,California,26,p9
Stanislaus,California,26,p9
Fresno,California,27,p9
Madera,California,27,p9
Mariposa,California,27,p9
Tuolumne,California,27,p9
Kings,California,29,p9
Monterey,California,29,p9
San Benito,California,29,p9
San Luis Obispo,California,29,p9
Santa Barbara,California,29,p9
Inyo,California,28,p10
Mono,California,28,p10
Kern,California,30,p10
Tulare,California,30,p10
Los Angeles,California,31,p10
Orange,California,31,p10
Ventura,California,31,p10
Imperial,California,33,p10
Riverside,California,33,p10
San Bernardino,California,33,p10
San Diego,California,32,p11
Carson City,Nevada,34,p12
Douglas,Nevada,34,p12
Lyon,Nevada,34,p12
Storey,Nevada,34,p12
Washoe,Nevada,34,p12
Eureka,Nevada,35,p12
Humboldt,Nevada,35,p12
Lander,Nevada,35,p12
Pershing,Nevada,35,p12
Elko,Nevada,36,p12
White Pine,Nevada,36,p12
Churchill,Nevada,37,p12
Esmeralda,Nevada,37,p12
Mineral,Nevada,37,p12
Nye,Nevada,38,p12
Lincoln,Nevada,39,p13
Clark,Nevada,40,p13
Benewah,Idaho,41,p14
Bonner,Idaho,41,p14
Boundary,Idaho,41,p14
Kootenai,Idaho,41,p14
Latah,Idaho,41,p14
Lewis,Idaho,41,p14
Nez Perce,Idaho,41,p14
Adams,Idaho,42,p15
Boise,Idaho,42,p15
Clearwater,Idaho,42,p15
Gem,Idaho,42,p15
Idaho,Idaho,42,p15
Payette,Idaho,42,p15
Shoshone,Idaho,42,p15
Valley,Idaho,42,p15
Washington,Idaho,42,p15
Butte,Idaho,43,p15
Custer,Idaho,43,p15
Lemhi,Idaho,43,p15
Ada,Idaho,44,p15
Canyon,Idaho,44,p15
Elmore,Idaho,44,p15
Gooding,Idaho,44,p15
Owyhee,Idaho,44,p15
Blaine,Idaho,45,p15
Camas,Idaho,45,p15
Jerome,Idaho,45,p15
Lincoln,Idaho,45,p15
Minidoka,Idaho,45,p15
Bannock,Idaho,46,p16
Cassia,Idaho,46,p16
Oneida,Idaho,46,p16
Power,Idaho,46,p16
Twin Falls,Idaho,46,p16
Bear Lake,Idaho,47,p16
Bingham,Idaho,47,p16
Bonneville,Idaho,47,p16
Caribou,Idaho,47,p16
Clark,Idaho,47,p16
Franklin,Idaho,47,p16
Fremont,Idaho,47,p16
Jefferson,Idaho,47,p16
Madison,Idaho,47,p16
Teton,Idaho,47,p16
Flathead,Montana,60,p17
Lincoln,Montana,60,p17
Lake,Montana,61,p17
Mineral,Montana,61,p17
Sanders,Montana,61,p17
Granite,Montana,62,p17
Missoula,Montana,62,p17
Powell,Montana,62,p17
Ravalli,Montana,62,p17
Beaverhead,Montana,63,p17
Broadwater,Montana,63,p17
Deer Lodge,Montana,63,p17
Jefferson,Montana,63,p17
Madison,Montana,63,p17
Silver Bow,Montana,63,p17
Cascade,Montana,64,p18
Glacier,Montana,64,p18
Lewis And Clark,Montana,64,p18
Lewis & Clark,Montana,64,p18
Pondera,Montana,64,p18
Teton,Montana,64,p18
Toole,Montana,64,p18
Blaine,Montana,65,p18
Chouteau,Montana,65,p18
Hill,Montana,65,p18
Liberty,Montana,65,p18
Phillips,Montana,65,p18
Big Horn,Montana,67,p18
Carbon,Montana,67,p18
Gallatin,Montana,67,p18
Meagher,Montana,67,p18
Park,Montana,67,p18
Stillwater,Montana,67,p18
Sweet Grass,Montana,67,p18
Garfield,Montana,68,p19
Valley,Montana,68,p19
Fergus,Montana,66,p20
Golden Valley,Montana,66,p20
Judith Basin,Montana,66,p20
Musselshell,Montana,66,p20
Petroleum,Montana,66,p20
Wheatland,Montana,66,p20
Yellowstone,Montana,66,p20
Powder River,Montana,69,p20
Rosebud,Montana,69,p20
Treasure,Montana,69,p20
Big Horn,Wyoming,70,p21
Fremont,Wyoming,70,p21
Hot Springs,Wyoming,70,p21
Park,Wyoming,70,p21
Teton,Wyoming,70,p21
Washakie,Wyoming,70,p21
Lincoln,Wyoming,71,p21
Sublette,Wyoming,71,p21
Sweetwater,Wyoming,71,p21
Uinta,Wyoming,71,p21
Johnson,Wyoming,72,p22
Sheridan,Wyoming,72,p22
Campbell,Wyoming,73,p23
Crook,Wyoming,73,p23
Weston,Wyoming,73,p23
Albany,Wyoming,74,p24
Carbon,Wyoming,74,p24
Converse,Wyoming,74,p24
Goshen,Wyoming,74,p24
Laramie,Wyoming,74,p24
Natrona,Wyoming,74,p24
Niobrara,Wyoming,74,p24
Platte,Wyoming,74,p24
Beaver,Utah,48,p25
Box Elder,Utah,48,p25
Iron,Utah,48,p25
Juab,Utah,48,p25
Millard,Utah,48,p25
Tooele,Utah,48,p25
Washington,Utah,48,p25
Cache,Utah,49,p25
Davis,Utah,49,p25
Salt Lake,Utah,49,p25
Utah,Utah,49,p25
Weber,Utah,49,p25
Carbon,Utah,51,p25
Emery,Utah,51,p25
Garfield,Utah,51,p25
Kane,Utah,51,p25
Piute,Utah,51,p25
Sanpete,Utah,51,p25
Sevier,Utah,51,p25
Wayne,Utah,51,p25
Grand,Utah,52,p25
San Juan,Utah,52,p25
Daggett,Utah,50,p26
Duchesne,Utah,50,p26
Morgan,Utah,50,p26
Rich,Utah,50,p26
Summit,Utah,50,p26
Uintah,Utah,50,p26
Wasatch,Utah,50,p26
Mohave,Arizona,53,p27
Coconino,Arizona,54,p28
Navajo,Arizona,54,p28
La Paz,Arizona,56,p28
Yavapai,Arizona,56,p28
Yuma,Arizona,56,p28
Maricopa,Arizona,57,p28
Pinal,Arizona,57,p28
Cochise,Arizona,59,p28
Gila,Arizona,59,p28
Graham,Arizona,59,p28
Greenlee,Arizona,59,p28
Apache,Arizona,55,p29
Pima,Arizona,58,p30
Santa Cruz,Arizona,58,p30
Cibola,New Mexico,88,p31
Mckinley,New Mexico,88,p31
San Juan,New Mexico,88,p31
Valencia,New Mexico,88,p31
Bernalillo,New Mexico,89,p31
Sandoval,New Mexico,89,p31
Catron,New Mexico,90,p31
Dona Ana,New Mexico,90,p31
Grant,New Mexico,90,p31
Hidalgo,New Mexico,90,p31
Luna,New Mexico,90,p31
Sierra,New Mexico,90,p31
