Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit
South Field Energy,60356_G_SFECC,60356,G,SFECC,,Combined Cycle,,PJM_ATSI,Ohio,39,Columbiana,29,39029,1060,6267,2021,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
CPV Fairview Energy Center,60589_G_GEN1,60589,G,GEN1,,Combined Cycle,,PJM_PENE,Pennsylvania,42,Cambria,21,42021,1100,6267,2020,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Okeechobee Clean Energy Center,60345_G_1ST,60345,G,1ST,,Combined Cycle,,FRCC,Florida,12,Okeechobee,93,12093,593.3,6267,2019,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Birdsboro Power,61035_G_GEN1,61035,G,GEN1,,Combined Cycle,,PJM_WMAC,Pennsylvania,42,Berks,11,42011,476,6267,2019,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Lake Charles Power,60927_G_1C,60927,G,1C,,Combined Cycle,,MIS_S_WOTA,Louisiana,22,Calcasieu,19,22019,500,6267,2020,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Blue Water Energy Center,62192_G_1S,62192,G,1S,,Combined Cycle,,MIS_LMI,Michigan,26,St Clair,147,26147,428,6233,2022,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Allen,3393_G_STG1,3393,G,STG1,,Combined Cycle,,S_C_TVA,Tennessee,47,Shelby,157,47157,428.3,6267,2018,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
CPV Fairview Energy Center,60589_G_GEN3,60589,G,GEN3,,Combined Cycle,,PJM_PENE,Pennsylvania,42,Cambria,21,42021,416,6267,2020,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Blue Water Energy Center,62192_G_11,62192,G,11,,Combined Cycle,,MIS_LMI,Michigan,26,St Clair,147,26147,359,6233,2022,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Blue Water Energy Center,62192_G_12,62192,G,12,,Combined Cycle,,MIS_LMI,Michigan,26,St Clair,147,26147,359,6233,2022,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Okeechobee Clean Energy Center,60345_G_1A,60345,G,1A,,Combined Cycle,,FRCC,Florida,12,Okeechobee,93,12093,376.6,6267,2019,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Okeechobee Clean Energy Center,60345_G_1B,60345,G,1B,,Combined Cycle,,FRCC,Florida,12,Okeechobee,93,12093,376.6,6267,2019,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Okeechobee Clean Energy Center,60345_G_1C,60345,G,1C,,Combined Cycle,,FRCC,Florida,12,Okeechobee,93,12093,376.6,6267,2019,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
CPV Fairview Energy Center,60589_G_GEN2,60589,G,GEN2,,Combined Cycle,,PJM_PENE,Pennsylvania,42,Cambria,21,42021,342,6267,2020,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Crystal River,628_G_CC1ST,628,G,CC1ST,,Combined Cycle,,FRCC,Florida,12,Citrus,17,12017,328,6267,2018,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Crystal River,628_G_CC2ST,628,G,CC2ST,,Combined Cycle,,FRCC,Florida,12,Citrus,17,12017,328,6267,2018,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Allen,3393_G_CTG1,3393,G,CTG1,,Combined Cycle,,S_C_TVA,Tennessee,47,Shelby,157,47157,311.9,6267,2018,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Allen,3393_G_CTG2,3393,G,CTG2,,Combined Cycle,,S_C_TVA,Tennessee,47,Shelby,157,47157,311.9,6267,2018,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
Canal,1599_G_3,1599,G,3,,Combustion Turbine,,NENGREST,Massachusetts,25,Barnstable,1,25001,330,9264,2019,,,,,Natural Gas,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,,,,,,,,,,,
