0,Palisades
1,Fermi
2,Monticello Nuclear Facility
3,Prairie Island
4,Clinton Power Station
5,Wolf Creek Generating Station
6,PSEG Salem Generating Station
7,Nine Mile Point Nuclear Station
8,Peach Bottom
9,H B Robinson
10,Oconee
11,Columbia Generating Station
12,Surry
13,Point Beach Nuclear Plant
14,Waterford 3
15,Browns Ferry
16,Millstone
17,Donald C Cook
18,Joseph M Farley
19,Palo Verde
20,Calvert Cliffs Nuclear Power Plant
21,Brunswick Nuclear
22,Harris
23,Perry
24,Braidwood Generation Station
25,Byron Generating Station
26,LaSalle Generating Station
27,Catawba
28,McGuire
29,Beaver Valley
30,St Lucie
31,Edwin I Hatch
32,Grand Gulf
33,Diablo Canyon
34,TalenEnergy Susquehanna
35,Limerick
36,James A Fitzpatrick
37,Seabrook
38,PSEG Hope Creek Generating Station
39,R E Ginna Nuclear Power Plant
40,V C Summer
41,Comanche Peak
42,Davis Besse
43,Sequoyah
44,Callaway
45,North Anna
46,Turkey Point
47,South Texas Project
48,River Bend
49,Vogtle
50,Watts Bar Nuclear Plant
51,Cooper Nuclear Station
52,Arkansas Nuclear One
53,Dresden Generating Station
54,Quad Cities Generating Station
55,Duane Arnold Energy Center
56,Indian Point 2
57,Indian Point 3
