SEQPLT19,YEAR,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,SECTOR,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON,NUMUNT,NUMGEN,PLPRMFL,PLFUELCT,COALFLAG,CAPFAC,NAMEPCAP,NBFACTOR,RMBMFLAG,CHPFLAG,USETHRMO,PWRTOHT,ELCALLOC,PSFLAG,PLHTIAN,PLHTIOZ,PLHTIANT,PLHTIOZT,PLNGENAN,PLNGENOZ,PLNOXAN,PLNOXOZ,PLSO2AN,PLCO2AN,PLCH4AN,PLN2OAN,PLCO2EQA,PLHGAN,PLNOXRTA,PLNOXRTO,PLSO2RTA,PLCO2RTA,PLCH4RTA,PLN2ORTA,PLC2ERTA,PLHGRTA,PLNOXRA,PLNOXRO,PLSO2RA,PLCO2RA,PLCH4RA,PLN2ORA,PLC2ERA,PLHGRA,PLNOXCRT,PLNOXCRO,PLSO2CRT,PLCO2CRT,PLCH4CRT,PLN2OCRT,PLC2ECRT,PLHGCRT,UNNOX,UNNOXOZ,UNSO2,UNCO2,UNCH4,UNN2O,UNHG,UNHTI,UNHTIOZ,UNHTIT,UNHTIOZT,UNNOXSRC,UNNOZSRC,UNSO2SRC,UNCO2SRC,UNCH4SRC,UNN2OSRC,UNHGSRC,UNHTISRC,UNHOZSRC,BIONOX,BIONOXOZ,BIOSO2,BIOCO2,BIOCH4,BION2O,CHPCHTI,CHPCHTIOZ,CHPNOX,CHPNOXOZ,CHPSO2,CHPCO2,CHPCH4,CHPN2O,PLHTRT,PLGENACL,PLGENAOL,PLGENAGS,PLGENANC,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOF,PLGENAOP,PLGENATN,PLGENATR,PLGENATH,PLGENACY,PLGENACN,PLCLPR,PLOLPR,PLGSPR,PLNCPR,PLHYPR,PLBMPR,PLWIPR,PLSOPR,PLGTPR,PLOFPR,PLOPPR,PLTNPR,PLTRPR,PLTHPR,PLCYPR,PLCNPR
1,2019,AK,7-Mile Ridge Wind Project,60814,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,,,AKMS,ASCC Miscellaneous,,2,240.0,Southeast Fairbanks,63.210689,-143.24715600000002,1,1,WND,WIND,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019,AK,Agrium Kenai Nitrogen Operations,54452,Homer Electric Assn Inc,19558,Agrium US Inc,179,Industrial CHP,Alaska Miscellaneous,,ASCC,AKGD,ASCC Alaska Grid,,2,122.0,Kenai Peninsula,60.6732,-151.3784,12,12,NG,GAS,,,21.6,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019,AK,Alakanuk,57053,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,,ASCC,AKMS,ASCC Miscellaneous,,2,270.0,Wade Hampton,62.6833,-164.6544,5,5,DFO,OIL,,0.0,2.6,,,Yes,0.0,,1.0,,219.0,90.0,219.0,90.0,,,2.0,1.0,0.0,18.0,1.0,0.0,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18.639,18.644000000000002,0.29,163.32399999999998,0.006999999999999999,0.001,163.88400000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,18.0,1.0,0.0,,219.0,90.0,219.0,90.0,EIA,EIA,EIA,EIA,EIA,EIA,--,EIA,EIA,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(15,642.857)",0,(14),0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,(14),0,0.0,(14),0,,,,,,,,,,,,,,,,
4,2019,AK,Allison Creek Hydro,58982,"Copper Valley Elec Assn, Inc",4329,"Copper Valley Elec Assn, Inc",4329,Electric Utility,Alaska Miscellaneous,,,AKMS,ASCC Miscellaneous,,2,261.0,Valdez Cordova,61.084444,-146.35333300000002,1,1,WAT,HYDRO,,0.3361,6.5,,,,,,,,,,170397.0,74529.0,19135.0,8369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170397.0,74529.0,,,,,,,--,EIA,EIA,,,,,,,,,,,,,,,,0,0,0,0.0,"19,135",0.0,0.0,0.0,0.0,0.0,0,0,"19,135",0.0,0,"19,135",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
5,2019,AK,Ambler,60243,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,,,AKMS,ASCC Miscellaneous,,2,188.0,Northwest Arctic,67.08798,-157.856719,3,3,DFO,OIL,,0.122,1.1,1.0,,,,,,,12851.0,5228.0,12851.0,5228.0,1176.0,479.0,21.0,9.0,2.0,1049.0,85.0,17.0,1053.0,,36.311,36.271,3.1689999999999996,1784.78,0.07200000000000001,0.013999999999999999,1790.895,,3.323,3.323,0.29,163.326,0.006999999999999999,0.001,163.885,,36.311,36.271,3.1689999999999996,1784.779,0.07200000000000001,0.013999999999999999,1790.8929999999998,,21.0,9.0,2.0,1049.0,85.0,17.0,,12851.0,5228.0,12851.0,5228.0,EIA,EIA,EIA,EIA,EIA,EIA,--,EIA,EIA,,,,,,,,,,,,,,,"10,927.721",0,"1,176",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,"1,176",0,0.0,"1,176",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
6,2019,AK,Anchorage 1,75,Anchorage Municipal Light and Power,599,Anchorage Municipal Light and Power,599,Electric Utility,Anchorage Municipal Light & Power,AMPL,ASCC,AKGD,ASCC Alaska Grid,,2,20.0,Anchorage,61.2221,-149.8661,8,8,NG,GAS,,0.0139,121.4,1.0,,,,,,,227495.0,86152.0,227495.0,86152.0,14737.0,5581.0,36.0,14.0,0.0,13298.0,505.0,51.0,13312.0,,4.8919999999999995,4.893,0.051,1804.721,0.034,0.003,1806.6129999999998,,0.317,0.317,0.003,116.90799999999999,0.002,0.0,117.031,,4.8919999999999995,4.893,0.051,1804.721,0.034,0.003,1806.6129999999998,,36.0,14.0,0.0,13298.0,505.0,51.0,,227495.0,86152.0,227495.0,86152.0,EIA,EIA,EIA,EIA,EIA,EIA,--,EIA,EIA,,,,,,,,,,,,,,,"15,437.101",0,57,"14,680",0.0,0,0.0,0.0,0.0,0.0,0.0,0,"14,737",0,0.0,"14,737",0,0.0%,0.4%,99.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
7,2019,AK,Angoon,7462,"Inside Passage Elec Coop, Inc",18963,"Inside Passage Elec Coop, Inc",18963,Electric Utility,Alaska Miscellaneous,,ASCC,AKMS,ASCC Miscellaneous,,2,105.0,Hoonah-Angoon,57.499166,-134.58614,4,4,DFO,OIL,,0.0969,1.9,1.0,,Yes,0.0,,1.0,,16299.0,6640.0,16299.0,6640.0,1612.0,656.0,26.0,11.0,2.0,1331.0,108.0,22.0,1336.0,,32.494,32.533,2.932,1651.3929999999998,0.067,0.013000000000000001,1657.0510000000002,,3.214,3.214,0.29,163.326,0.006999999999999999,0.001,163.885,,32.494,32.533,2.932,1651.392,0.067,0.013000000000000001,1657.05,,26.0,11.0,2.0,1331.0,108.0,22.0,,16299.0,6640.0,16299.0,6640.0,EIA,EIA,EIA,EIA,EIA,EIA,--,EIA,EIA,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10,111.042",0,"1,612",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,"1,612",0,0.0,"1,612",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
8,2019,AK,Aniak,7182,Aniak Light & Power Co Inc,4959,Aniak Light & Power Co Inc,4959,Electric Utility,Alaska Miscellaneous,,ASCC,AKMS,ASCC Miscellaneous,,2,50.0,Bethel,61.580678000000006,-159.535643,6,6,DFO,OIL,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019,AK,Annex Creek,62,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,,ASCC,AKMS,ASCC Miscellaneous,,2,110.0,Juneau,58.3176,-134.101,2,2,WAT,HYDRO,,0.7637,4.0,,,,,,,,,,238306.0,104232.0,26761.0,11705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238306.0,104232.0,,,,,,,--,EIA,EIA,,,,,,,,,,,,,,,,0,0,0,0.0,"26,761",0.0,0.0,0.0,0.0,0.0,0,0,"26,761",0.0,0,"26,761",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
10,2019,AK,Auke Bay,7250,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,,ASCC,AKMS,ASCC Miscellaneous,,2,110.0,Juneau,58.3875,-134.6446,3,3,DFO,OIL,,0.0,36.2,,,,,,,,5068.0,2072.0,5068.0,2072.0,,,2.0,1.0,1.0,414.0,34.0,7.0,415.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.966,0.97,0.5,163.326,0.006999999999999999,0.001,163.885,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,414.0,34.0,7.0,,5068.0,2072.0,5068.0,2072.0,EIA,EIA,EIA,EIA,EIA,EIA,--,EIA,EIA,,,,,,,,,,,,,,,"(38,393.941)",0,(132),0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,(132),0,0.0,(132),0,,,,,,,,,,,,,,,,
