Unnamed: 0,Plant_Name,UniqueID,ORIS_Plant_Code,Boiler/Generator/Committed_Unit,Unit_ID,CAMD_Database_UnitID,PlantType,Combustion_Turbine/IC_Engine,Region_Name,State_Name,State_Code,County,County_Code,FIPS5,cap,Fully.Loaded.Tested.Heat.Rate.Btu.kWh...Modeled,Commercial.Online.Year,RetireYear,Firing,Bottom,Cogen?,Modeled_Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber_Efficiency,NOx_Comb_Control,NOx_Post-Comb_Control,SCR_Online_Year,SNCR_Online_Year,PM_Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls_Efficiency,SO2_Permit_Rate_(lbs/mmBtu),Mode_1_NOx_Rate_(lbs/mmBtu),Mode_2_NOx_Rate_(lbs/mmBtu),Mode_3_NOx_Rate_(lbs/mmBtu),Mode_4_NOx_Rate_(lbs/mmBtu),Hg_EMF_for_BIT,Hg_EMF_for_SUB,Hg_EMF_for_LIG,HCL_Removal,DSI_Unit,DSI_Online_Year,CCS,CCS_Removal,C2G,C2G_Online_Year,BART_Affected_Unit,resource_region,pca,Online_Yr_OG,Retire_Yr_OG,tech,Scrub_Match,RetireYearGiven,Retire_Age,NukeRetireBin,Nuke80RetireYear,Nuke60RetireYear,NukeEarlyRetireYear,NukeRefRetireYear,IsExistUnit,ct,ctt,wst,coolingwatertech,Plant.NAICS.Description,Commercial.Online.Year.Quarter,Primary_Fuel,OPRNAME,LAT,LON,CAPFAC,NAMEPCAP,PLNGENAN,egrid,PLNOXRTA,PLNOXRTO,PLSO2RTA,PLCO2RTA,PLCH4RTA,PLN2ORTA,PLC2ERTA,avg
43,Felt Hydroelectric Plant,10028_G_GEN1,10028,G,GEN1,,Hydro,,WECC_ID,Idaho,16,Teton,81,16081,2.3,0,1985,2085,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,47,p16,1985,9999.0,hydro,,False,9999.0,,2085,2085,2085,2085,True,none,none,none,none,Utilities,1985-1,Hydro,,,,,,,,0.0008746160769476951,0.000839313268815903,7.635537179702101e-05,0.052581085578403096,3.154865134704186e-06,5.34487602579147e-07,0.05282403448866634,1
44,Felt Hydroelectric Plant,10028_G_GEN2,10028,G,GEN2,,Hydro,,WECC_ID,Idaho,16,Teton,81,16081,2.3,0,1985,2085,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,47,p16,1985,9999.0,hydro,,False,9999.0,,2085,2085,2085,2085,True,none,none,none,none,Utilities,1985-1,Hydro,,,,,,,,0.0008746160769476951,0.000839313268815903,7.635537179702101e-05,0.052581085578403096,3.154865134704186e-06,5.34487602579147e-07,0.05282403448866634,1
45,Felt Hydroelectric Plant,10028_G_GEN3,10028,G,GEN3,,Hydro,,WECC_ID,Idaho,16,Teton,81,16081,0.8,0,1986,2086,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,47,p16,1986,9999.0,hydro,,False,9999.0,,2086,2086,2086,2086,True,none,none,none,none,Utilities,1986-1,Hydro,,,,,,,,0.0008746160769476951,0.000839313268815903,7.635537179702101e-05,0.052581085578403096,3.154865134704186e-06,5.34487602579147e-07,0.05282403448866634,1
46,Felt Hydroelectric Plant,10028_G_GEN4,10028,G,GEN4,,Hydro,,WECC_ID,Idaho,16,Teton,81,16081,0.5,0,1986,2086,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,47,p16,1986,9999.0,hydro,,False,9999.0,,2086,2086,2086,2086,True,none,none,none,none,Utilities,1986-1,Hydro,,,,,,,,0.0008746160769476951,0.000839313268815903,7.635537179702101e-05,0.052581085578403096,3.154865134704186e-06,5.34487602579147e-07,0.05282403448866634,1
234,Florida Power Development,10333_B_1,10333,B,1,89797.0,Biomass,,FRCC,Florida,12,Hernando,53,12053,66.0,21638,1988,2038,stoker/SPR,dry,N,Biomass,Dry Scrubber,2013.0,0.9,AA + LNB,SCR,2013.0,,ESPC + C,No,,,,0.31,0.204,0.14639000000000002,0.204,0.14639000000000002,0.05,0.75,1.0,,Yes,,,,,,,311,p101,1988,9999.0,biopower,,False,9999.0,,2038,2038,2038,2038,True,none,none,none,none,Utilities,1988-1,Biomass,,,,,,,,1.636086434525055,1.557876604845008,0.9926217402698185,191.38656230383722,0.8514078392993903,0.11279677079249253,239.6450177447959,1
1304,R S Nelson,1393_B_6,1393,B,6,950.0,Coal Steam,,MIS_WOTA,Louisiana,22,Calcasieu,19,22019,550.0,11786,1982,2057,tangential,wet,N,"Subbituminous, Petroleum Coke",,,,LNC2,,,,ESPC,Yes,ACI,2015.0,,0.6,0.16271,0.16271,0.139,0.139,0.1,0.1,0.1,,,,,,,,,162,p58,1982,9999.0,CoalOldUns,,False,9999.0,,2057,2057,2057,2057,True,none,none,none,none,Utilities,1982-1,Subbituminous,,,,,,,,1.3516898727737487,1.2930198034038556,1.9853433732004013,2253.2705698723857,0.2506260996244056,0.03645138612597835,2270.3987183473278,1
6279,Mojave 17,50822_G_GEN1,50822,G,GEN1,,Onshore Wind,,WECC_SCE,California,6,Kern,29,6029,25.0,0,1989,2019,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,30,p10,1989,9999.0,wind-ons,,False,9999.0,,2019,2019,2019,2019,True,none,none,none,none,Utilities,1989-1,Wind,,,,,,,,0.00010823107286706023,0.00010461226223441714,6.7644420541912646e-06,0.005648309115249706,2.1307992470702482e-07,4.0586652325147586e-08,0.005661837999358088,1
6864,Hartwell Energy Facility,54538_G_MAG1,54538,G,MAG1,5039.0,Combustion Turbine,,S_SOU,Georgia,13,Hart,147,13147,149.5,13283,1994,2044,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,,,,,,,,,0.006,0.06815,0.06815,0.06815,0.06815,,,,,,,,,,,,275,p94,1994,9999.0,gas-CT,,False,9999.0,,2044,2044,2044,2044,True,none,none,none,none,Utilities,1994-1,Natural Gas,,,,,,,,0.4015499220874546,0.41546312736413404,0.014160645205861725,891.0328703266649,0.0174864482186828,0.0018313136265283687,892.003750972556,1
6865,Hartwell Energy Facility,54538_G_MAG2,54538,G,MAG2,5040.0,Combustion Turbine,,S_SOU,Georgia,13,Hart,147,13147,144.2,13278,1994,2044,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,,,,,,,,,0.006,0.07243,0.07243,0.07243,0.07243,,,,,,,,,,,,275,p94,1994,9999.0,gas-CT,,False,9999.0,,2044,2044,2044,2044,True,none,none,none,none,Utilities,1994-1,Natural Gas,,,,,,,,0.4015499220874546,0.41546312736413404,0.014160645205861725,891.0328703266649,0.0174864482186828,0.0018313136265283687,892.003750972556,1
7861,Tait Electric Generating Station,55248_G_GT4,55248,G,GT4,4319.0,Combustion Turbine,,PJM_West,Ohio,39,Montgomery,113,39113,85.0,12665,2002,2052,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,0.5,0.03858,0.03858,0.03858,0.03858,,,,,,,,,,,,230,p113,2002,9999.0,gas-CT,,False,9999.0,,2052,2052,2052,2052,True,none,none,none,none,Utilities,2002-1,Natural Gas,,,,,,,,0.4015499220874546,0.41546312736413404,0.014160645205861725,891.0328703266649,0.0174864482186828,0.0018313136265283687,892.003750972556,1
