ORIS_Plant_Code,PlantType,cap,OPRNAME,CAPFAC,NAMEPCAP,PLNGENAN,PLNGENOZ,PLNOXAN,PLNOXOZ,PLSO2AN,PLCO2AN,PLCH4AN,PLN2OAN,PLCO2EQA,PLHGAN
0,Onshore Wind,904.0,,,,,,,,,,,,,
0,Solar PV,2.75,,,,,,,,,,,,,
2,Hydro,56.0,Alabama Power Co,0.0,53.9,(284),(124),,,,,,,,
3,Coal Steam,1814.0,Alabama Power Co,0.501,2841.5,"12,470,807","5,464,556",2361.0,1056.0,3495.0,8290060.0,1136506.0,159421.0,8328020.0,
3,Combined Cycle,962.0,Alabama Power Co,0.501,2841.5,"12,470,807","5,464,556",2361.0,1056.0,3495.0,8290060.0,1136506.0,159421.0,8328020.0,
4,Hydro,225.89999999999998,Alabama Power Co,0.3672,225.0,"723,690","316,534",,,,,,,,
7,O/G Steam,130.0,Alabama Power Co,0.1406,138.0,"169,977","70,493",136.0,52.0,3.0,131426.0,3802.0,380.0,131530.0,
8,Coal Steam,2068.0,Alabama Power Co,0.0395,1416.7,"490,760",0,491.0,0.0,143.0,598480.0,117468.0,17091.0,602495.0,
9,Combustion Turbine,62.0,El Paso Electric Co,0.0519,86.9,"39,534","19,926",86.0,46.0,0.0,41037.0,1518.0,152.0,41078.0,
10,Combustion Turbine,740.0,Alabama Power Co,0.1566,1288.4,"1,767,889","1,052,776",1572.0,982.0,7.0,1123120.0,41419.0,4143.0,1124255.0,
10,O/G Steam,508.0,Alabama Power Co,0.1566,1288.4,"1,767,889","1,052,776",1572.0,982.0,7.0,1123120.0,41419.0,4143.0,1124255.0,
11,Hydro,70.0,Alabama Power Co,0.3941,72.9,"251,681","110,082",,,,,,,,
12,Hydro,45.0,Alabama Power Co,0.4131,46.9,"169,711","74,230",,,,,,,,
13,Hydro,100.0,Alabama Power Co,0.4565,100.0,"399,857","174,893",,,,,,,,
14,Hydro,135.0,Alabama Power Co,0.3975,128.1,"446,040","195,093",,,,,,,,
15,Hydro,178.8,Alabama Power Co,0.4304,177.0,"667,283","291,862",,,,,,,,
16,Hydro,186.0,Alabama Power Co,0.2232,210.6,"411,795","180,115",,,,,,,,
17,Hydro,165.89999999999998,Alabama Power Co,0.3621,170.0,"539,163","235,824",,,,,,,,
18,Hydro,180.0,Alabama Power Co,0.2587,181.0,"410,236","179,433",,,,,,,,
19,Hydro,78.0,Alabama Power Co,0.3008,91.0,"239,763","104,870",,,,,,,,
20,Hydro,74.1,Alabama Power Co,0.3545,87.6,"272,027","118,982",,,,,,,,
21,Hydro,47.0,Alabama Power Co,0.352,50.5,"155,736","68,117",,,,,,,,
26,Coal Steam,1664.0,Alabama Power Co,0.3193,2034.0,"5,688,930","3,385,888",3463.0,1872.0,1149.0,5283997.0,768776.0,108753.0,5309811.0,
26,Combustion Turbine,16.0,Alabama Power Co,0.3193,2034.0,"5,688,930","3,385,888",3463.0,1872.0,1149.0,5283997.0,768776.0,108753.0,5309811.0,
26,O/G Steam,1020.0,Alabama Power Co,0.3193,2034.0,"5,688,930","3,385,888",3463.0,1872.0,1149.0,5283997.0,768776.0,108753.0,5309811.0,
30,Combustion Turbine,10.299999999999999,City of Madelia - (MN),0.0,11.8,(119),(47),0.0,0.0,0.0,61.0,7.0,1.0,61.0,
34,Hydro,12.1,Pacific Gas & Electric Co,0.7163,12.1,"75,926","38,784",,,,,,,,
38,Hydro,90.0,Alabama Power Co,0.3298,101.1,"292,068","127,747",,,,,,,,
46,Nuclear,3803.5,Tennessee Valley Authority,0.9645,3494.0,"29,519,900","12,942,630",,,,,,,,
47,Combustion Turbine,363.19999999999993,Tennessee Valley Authority,0.0001,1826.0,"1,670",805,11.0,6.0,4.0,3153.0,95.0,9.0,3155.0,
48,Hydro,122.7,Tennessee Valley Authority,0.6615,115.2,"667,523","291,967",,,,,,,,
49,Hydro,398.2,Tennessee Valley Authority,0.4607,404.0,"1,630,300","713,075",,,,,,,,
51,Coal Steam,641.0,Cleco Power LLC,0.1847,720.7,"1,165,830","1,121,102",1301.0,1237.0,5104.0,1266206.0,356537.0,51845.0,1278387.0,
53,Hydro,2.8,PowerSouth Energy Cooperative,0.1143,3.0,"3,003","1,313",,,,,,,,
54,Combustion Turbine,784.0,"East Kentucky Power Coop, Inc",0.0244,1663.4,"355,650","174,281",79.0,32.0,1.0,257369.0,10098.0,1011.0,257646.0,
55,Hydro,5.4,PowerSouth Energy Cooperative,0.2349,5.2,"10,702","4,681",,,,,,,,
56,Coal Steam,794.0,PowerSouth Energy Cooperative,0.0862,1264.7,"955,004","494,871",2248.0,1173.0,558.0,1072765.0,269746.0,39269.0,1081988.0,
59,Coal Steam,200.0,City of Grand Island - (NE),0.5253,109.8,"505,226","234,510",565.0,254.0,500.0,676287.0,147572.0,21467.0,681330.0,
60,Coal Steam,309.0,Nebraska Public Power District,0.499,324.3,"1,417,609","599,865",796.0,312.0,2191.0,1697434.0,727801.0,105864.0,1722305.0,
72,Hydro,10.1,Southern California Edison Co,0.0,10.1,0,0,,,,,,,,
87,Coal Steam,247.0,"Tri-State G & T Assn, Inc",0.5371,257.0,"1,209,251","433,557",2250.0,782.0,810.0,1346472.0,299914.0,43620.0,1356721.0,
88,Hydro,4.6,Central Hudson Gas & Elec Corp,0.259,4.6,"10,437","4,465",,,,,,,,
99,Combustion Turbine,134.0,Puget Sound Energy Inc,0.0522,177.8,"81,365","37,199",177.0,81.0,2.0,71321.0,2702.0,272.0,71395.0,
100,Hydro,1.4,Salt River Project,0.0,1.4,0,0,,,,,,,,
104,Pumped Storage,199.8,Southern California Edison Co,0.1455,199.8,"254,677","205,314",,,,,,,,
108,Coal Steam,359.0,Sunflower Electric Power Corp,0.5138,348.7,"1,569,548","803,025",1611.0,806.0,1224.0,1829509.0,410033.0,59626.0,1843518.0,
113,Coal Steam,1534.0,Arizona Public Service Co,0.2814,1128.8,"2,782,781","1,139,979",3095.0,1326.0,1518.0,3517347.0,749065.0,108971.0,3542947.0,
114,Combustion Turbine,15.0,Arizona Public Service Co,0.0003,26.1,59,24,1.0,1.0,1.0,233.0,19.0,4.0,234.0,
116,Combustion Turbine,623.5,Arizona Public Service Co,0.0618,1143.5,"618,669","334,371",27.0,14.0,2.0,324834.0,13967.0,1397.0,325217.0,
116,O/G Steam,220.0,Arizona Public Service Co,0.0618,1143.5,"618,669","334,371",27.0,14.0,2.0,324834.0,13967.0,1397.0,325217.0,
117,Combined Cycle,832.0,Arizona Public Service Co,0.2555,1326.9,"2,970,148","1,329,740",138.0,63.0,5.0,986607.0,57789.0,5779.0,988191.0,
117,Combustion Turbine,100.0,Arizona Public Service Co,0.2555,1326.9,"2,970,148","1,329,740",138.0,63.0,5.0,986607.0,57789.0,5779.0,988191.0,
118,Combustion Turbine,176.0,Arizona Public Service Co,0.0311,435.5,"118,593","58,415",20.0,5.0,0.0,63289.0,3377.0,338.0,63382.0,
120,Combustion Turbine,253.0,Arizona Public Service Co,0.1112,425.0,"414,041","195,874",177.0,71.0,1.0,263320.0,10826.0,1106.0,263621.0,
120,O/G Steam,75.0,Arizona Public Service Co,0.1112,425.0,"414,041","195,874",177.0,71.0,1.0,263320.0,10826.0,1106.0,263621.0,
124,Combustion Turbine,75.0,Tucson Electric Power Co,0.0219,85.0,"16,300","8,029",4.0,3.0,0.0,13666.0,508.0,51.0,13680.0,
124,Energy Storage,10.0,Tucson Electric Power Co,0.0219,85.0,"16,300","8,029",4.0,3.0,0.0,13666.0,508.0,51.0,13680.0,
