,Plant_Name,UniqueID_Final,ORIS_Plant_Code,Boiler/Generator/Committed_Unit,Unit_ID,CAMD_Database_UnitID,PlantType,Combustion_Turbine/IC_Engine,Region_Name,State_Name,State_Code,County,County_Code,FIPS5,cap,Heat_Rate_(Btu/kWh),Commercial.Online.Year.Quarter,RetireYear,Firing,Bottom,Cogen?,Modeled_Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber_Efficiency,resource_region,pca,tech,ctt,wst,coolingwatertech,IsExistUnit,Nuke60RetireYear,Nuke80RetireYear,NukeEarlyRetireYear,NukeRefRetireYear
0,Greene County,10_B_1,10,B,1,19.0,O/G Steam,,S_SOU,Alabama,1,Greene,63,1063,254.0,10120,1965,9999.0,cell,dry,N,Natural Gas,,,,265,p89,o-g-s,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
1,Greene County,10_B_2,10,B,2,20.0,O/G Steam,,S_SOU,Alabama,1,Greene,63,1063,254.0,10018,1966,9999.0,wall,dry,N,Natural Gas,,,,265,p89,o-g-s,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
2,Greene County,10_G_GT10,10,G,GT10,21.0,Combustion Turbine,,S_SOU,Alabama,1,Greene,63,1063,85.0,14380,1996,9999.0,,,N,Natural Gas,,,,265,p89,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
3,Greene County,10_G_GT2,10,G,GT2,22.0,Combustion Turbine,,S_SOU,Alabama,1,Greene,63,1063,84.0,14380,1996,9999.0,,,N,Natural Gas,,,,265,p89,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
4,Greene County,10_G_GT3,10,G,GT3,23.0,Combustion Turbine,,S_SOU,Alabama,1,Greene,63,1063,82.0,14380,1995,9999.0,,,N,Natural Gas,,,,265,p89,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
5,Greene County,10_G_GT4,10,G,GT4,24.0,Combustion Turbine,,S_SOU,Alabama,1,Greene,63,1063,81.0,14380,1995,9999.0,,,N,Natural Gas,,,,265,p89,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
6,Greene County,10_G_GT5,10,G,GT5,25.0,Combustion Turbine,,S_SOU,Alabama,1,Greene,63,1063,82.0,14380,1995,9999.0,,,N,Natural Gas,,,,265,p89,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
7,Greene County,10_G_GT6,10,G,GT6,26.0,Combustion Turbine,,S_SOU,Alabama,1,Greene,63,1063,81.0,14380,1995,9999.0,,,N,Natural Gas,,,,265,p89,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
8,Greene County,10_G_GT7,10,G,GT7,27.0,Combustion Turbine,,S_SOU,Alabama,1,Greene,63,1063,80.0,14380,1995,9999.0,,,N,Natural Gas,,,,265,p89,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
9,Greene County,10_G_GT8,10,G,GT8,28.0,Combustion Turbine,,S_SOU,Alabama,1,Greene,63,1063,83.0,14380,1996,9999.0,,,N,Natural Gas,,,,265,p89,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
10,Greene County,10_G_GT9,10,G,GT9,29.0,Combustion Turbine,,S_SOU,Alabama,1,Greene,63,1063,82.0,14380,1996,9999.0,,,N,Natural Gas,,,,265,p89,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
11,South Consolidated,100_G_SC1,100,G,SC1,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,1.4,0,1981,9999.0,,,N,Hydro,,,,57,p28,hydro,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
12,Colorado Energy Nations Company,10003_B_BLR1,10003,B,BLR1,,O/G Steam,,WECC_CO,Colorado,8,Jefferson,59,8059,10.0,8300,1967,9999.0,,,Y,Natural Gas,,,,82,p33,o-g-s,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
13,Colorado Energy Nations Company,10003_B_BLR2,10003,B,BLR2,,O/G Steam,,WECC_CO,Colorado,8,Jefferson,59,8059,10.0,8300,1967,9999.0,,,Y,Natural Gas,,,,82,p33,o-g-s,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
14,Colorado Energy Nations Company,10003_B_BLR4,10003,B,BLR4,,O/G Steam,,WECC_CO,Colorado,8,Jefferson,59,8059,10.0,8300,1974,9999.0,,,Y,Natural Gas,,,,82,p33,o-g-s,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
15,Colorado Energy Nations Company,10003_B_BLR5,10003,B,BLR5,,O/G Steam,,WECC_CO,Colorado,8,Jefferson,59,8059,10.0,8300,1979,9999.0,,,Y,Natural Gas,,,,82,p33,o-g-s,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
16,Mosaic South Pierce Operations,10004_G_TG1,10004,G,TG1,,Non-Fossil Waste,,FRCC,Florida,12,Polk,105,12105,4.0,9319,1978,9999.0,,,Y,Non-Fossil Waste,,,,311,p101,other,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
17,Mosaic South Pierce Operations,10004_G_TG2,10004,G,TG2,,Non-Fossil Waste,,FRCC,Florida,12,Polk,105,12105,33.0,9319,1992,9999.0,,,Y,Non-Fossil Waste,,,,311,p101,other,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
18,Baptist Medical Center,10008_G_TG-2,10008,G,TG-2,,Combustion Turbine,,FRCC,Florida,12,Duval,31,12031,2.2,16297,1983,9999.0,,,Y,"Natural Gas, Distillate Fuel Oil",,,,310,p101,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
19,Baptist Medical Center,10008_G_TG-3,10008,G,TG-3,,Combustion Turbine,,FRCC,Florida,12,Duval,31,12031,2.7,16297,1986,9999.0,,,Y,"Natural Gas, Distillate Fuel Oil",,,,310,p101,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
20,Baptist Medical Center,10008_G_TG-4,10008,G,TG-4,,Combustion Turbine,,FRCC,Florida,12,Duval,31,12031,3.2,12445,1993,9999.0,,,Y,"Natural Gas, Distillate Fuel Oil",,,,310,p101,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
21,Cayuga,1001_B_1,1001,B,1,706.0,Coal Steam,,MIS_INKY,Indiana,18,Vermillion,165,18165,500.0,10337,1970,9999.0,tangential,dry,N,Bituminous,Wet Scrubber,2008.0,0.97,221,p105,CoalOldScr,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
22,Cayuga,1001_B_2,1001,B,2,707.0,Coal Steam,,MIS_INKY,Indiana,18,Vermillion,165,18165,495.0,10397,1972,9999.0,tangential,dry,N,Bituminous,Wet Scrubber,2008.0,0.97,221,p105,CoalOldScr,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
23,Cayuga,1001_G_31,1001,G,31,,Combustion Turbine,IC Engine,MIS_INKY,Indiana,18,Vermillion,165,18165,3.0,11293,1972,9999.0,,,N,Distillate Fuel Oil,,,,221,p105,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
24,Cayuga,1001_G_32,1001,G,32,,Combustion Turbine,IC Engine,MIS_INKY,Indiana,18,Vermillion,165,18165,3.0,11287,1972,9999.0,,,N,Distillate Fuel Oil,,,,221,p105,gas-CT,dum,dum,dum,TRUE,9999.0,9999.0,9999.0,9999.0
