tech,coolingwatertech,pca,cap
CoalOldScr,dum,p10,54.0
CoalOldScr,dum,p101,5347.0
CoalOldScr,dum,p103,4547.0
CoalOldScr,dum,p105,3569.0
CoalOldScr,dum,p107,8662.0
CoalOldScr,dum,p108,2997.0
CoalOldScr,dum,p109,5986.0
CoalOldScr,dum,p112,9100.0
CoalOldScr,dum,p114,2364.0
CoalOldScr,dum,p115,4775.0
CoalOldScr,dum,p116,7659.0
CoalOldScr,dum,p117,4199.0
CoalOldScr,dum,p12,268.0
CoalOldScr,dum,p122,6106.0
CoalOldScr,dum,p123,3664.0
CoalOldScr,dum,p125,410.0
CoalOldScr,dum,p126,463.0
CoalOldScr,dum,p127,991.0
CoalOldScr,dum,p130,438.0
CoalOldScr,dum,p20,2129.0
CoalOldScr,dum,p21,2468.0
CoalOldScr,dum,p23,332.0
CoalOldScr,dum,p24,2260.0
CoalOldScr,dum,p25,4121.0
CoalOldScr,dum,p26,458.0
CoalOldScr,dum,p28,2442.0
CoalOldScr,dum,p29,1552.0
CoalOldScr,dum,p31,2634.0
CoalOldScr,dum,p33,2530.0
CoalOldScr,dum,p34,1176.0
CoalOldScr,dum,p35,53.0
CoalOldScr,dum,p36,2755.0
CoalOldScr,dum,p37,1141.0
CoalOldScr,dum,p38,474.0
CoalOldScr,dum,p40,100.0
CoalOldScr,dum,p41,82.0
CoalOldScr,dum,p43,3852.0
CoalOldScr,dum,p45,1848.0
CoalOldScr,dum,p50,1345.0
CoalOldScr,dum,p51,520.0
CoalOldScr,dum,p52,359.0
CoalOldScr,dum,p53,4278.0
CoalOldScr,dum,p54,700.0
CoalOldScr,dum,p55,382.0
CoalOldScr,dum,p56,528.0
CoalOldScr,dum,p57,1516.0
CoalOldScr,dum,p58,1425.0
CoalOldScr,dum,p60,650.0
CoalOldScr,dum,p63,5004.0
CoalOldScr,dum,p64,2085.0
CoalOldScr,dum,p65,951.0
CoalOldScr,dum,p67,610.0
CoalOldScr,dum,p69,229.0
CoalOldScr,dum,p70,1634.0
CoalOldScr,dum,p72,1212.0
CoalOldScr,dum,p74,41.0
CoalOldScr,dum,p75,334.0
CoalOldScr,dum,p76,1115.0
CoalOldScr,dum,p77,290.0
CoalOldScr,dum,p79,2581.0
CoalOldScr,dum,p80,689.0
CoalOldScr,dum,p81,3664.0
CoalOldScr,dum,p82,1862.0
CoalOldScr,dum,p83,1158.0
CoalOldScr,dum,p87,1380.0
CoalOldScr,dum,p89,4592.0
CoalOldScr,dum,p90,1282.0
CoalOldScr,dum,p91,924.0
CoalOldScr,dum,p92,5714.0
CoalOldScr,dum,p93,609.0
CoalOldScr,dum,p94,9208.0
CoalOldScr,dum,p96,2989.0
CoalOldScr,dum,p97,5920.0
CoalOldScr,dum,p98,3284.0
CoalOldScr,dum,p99,1625.8000000000006
CoalOldUns,dum,p103,4491.5
CoalOldUns,dum,p105,30.2
CoalOldUns,dum,p107,2915.0
CoalOldUns,dum,p111,687.0
CoalOldUns,dum,p112,89.6
CoalOldUns,dum,p118,2.5
CoalOldUns,dum,p12,254.0
CoalOldUns,dum,p123,690.0
CoalOldUns,dum,p130,96.0
CoalOldUns,dum,p132,383.0
CoalOldUns,dum,p24,210.0
CoalOldUns,dum,p25,75.0
CoalOldUns,dum,p36,30.0
CoalOldUns,dum,p40,1442.0
CoalOldUns,dum,p41,1223.5
CoalOldUns,dum,p43,285.59999999999997
