Commercial.Online.Year,pca,tech,cap
2010,p10,UPV,8.32
2010,p101,UPV,17.81
2010,p102,UPV,13.0
2010,p112,UPV,13.0
2010,p113,UPV,1.4300000000000002
2010,p122,UPV,11.180000000000001
2010,p123,UPV,1.8199999999999998
2010,p126,UPV,28.729999999999997
2010,p13,UPV,62.400000000000006
2010,p131,UPV,4.420000000000001
2010,p28,UPV,4.55
2010,p29,UPV,1.8199999999999998
2010,p30,UPV,2.7300000000000004
2010,p31,UPV,39.0
2010,p33,UPV,5.720000000000001
2010,p34,UPV,24.7
2010,p65,UPV,17.55
2010,p9,UPV,27.689999999999998
2010,p97,UPV,8.06
2010,p98,UPV,1.3
2011,p10,UPV,25.869999999999997
2011,p101,UPV,25.22
2011,p106,UPV,2.6
2011,p11,UPV,4.290000000000001
2011,p112,UPV,10.4
2011,p122,UPV,16.900000000000002
2011,p123,UPV,7.93
2011,p125,UPV,16.25
2011,p126,UPV,223.20999999999998
2011,p128,UPV,48.1
2011,p129,UPV,4.55
2011,p131,UPV,12.22
2011,p27,UPV,1.9500000000000002
2011,p28,UPV,175.37
2011,p30,UPV,8.32
2011,p31,UPV,61.62
2011,p33,UPV,5.07
2011,p34,UPV,52.65
2011,p47,UPV,67.47000000000001
2011,p5,UPV,3.3800000000000003
2011,p64,UPV,39.0
2011,p9,UPV,160.55
2011,p92,UPV,0.9099999999999999
2011,p94,UPV,1.3
2011,p97,UPV,16.64
2011,p98,UPV,12.48
2012,p10,UPV,352.17000000000013
2012,p101,UPV,5.8500000000000005
2012,p105,UPV,9.75
2012,p111,UPV,2.6
2012,p112,UPV,11.959999999999999
2012,p113,UPV,1.9500000000000002
2012,p115,UPV,1.6900000000000002
2012,p12,UPV,28.340000000000003
2012,p121,UPV,17.81
2012,p122,UPV,23.66
2012,p123,UPV,13.39
2012,p125,UPV,15.340000000000002
2012,p126,UPV,116.22
2012,p128,UPV,8.450000000000001
2012,p129,UPV,7.54
2012,p13,UPV,213.20000000000002
2012,p131,UPV,56.029999999999994
2012,p25,UPV,1.6900000000000002
2012,p27,UPV,11.700000000000001
2012,p28,UPV,573.0400000000001
2012,p30,UPV,50.050000000000004
2012,p31,UPV,43.029999999999994
2012,p33,UPV,2.8600000000000003
2012,p34,UPV,40.300000000000004
2012,p5,UPV,2.21
2012,p64,UPV,1.6900000000000002
2012,p65,UPV,39.519999999999996
2012,p7,UPV,8.32
2012,p80,UPV,29.380000000000003
2012,p9,UPV,226.98000000000005
2012,p92,UPV,15.730000000000002
2012,p94,UPV,4.16
2012,p97,UPV,24.7
2012,p98,UPV,98.02000000000001
2013,p10,UPV,1460.8100000000002
2013,p10,csp-ns,843.7
2013,p105,UPV,5.2
2013,p106,UPV,50.18000000000001
2013,p11,UPV,52.65
2013,p113,UPV,2.3400000000000003
2013,p121,UPV,27.169999999999998
2013,p122,UPV,3.77
2013,p123,UPV,10.4
2013,p125,UPV,5.07
2013,p126,UPV,86.44999999999999
2013,p127,UPV,4.680000000000001
2013,p129,UPV,10.919999999999998
2013,p13,UPV,43.29
2013,p131,UPV,135.45999999999998
2013,p132,UPV,6.5
2013,p133,UPV,8.97
2013,p28,UPV,272.35
2013,p28,csp-ns,383.5
2013,p30,UPV,45.5
2013,p31,UPV,35.62
2013,p33,UPV,2.8600000000000003
2013,p44,UPV,2.21
2013,p47,UPV,1.8199999999999998
2013,p61,UPV,13.0
2013,p65,UPV,52.910000000000004
2013,p79,UPV,1.3
2013,p9,UPV,801.7099999999999
2013,p92,UPV,1.04
2013,p94,UPV,76.57000000000001
2013,p96,UPV,3.25
2013,p97,UPV,94.77000000000001
2013,p98,UPV,188.76000000000002
2014,p10,UPV,2049.9700000000003
2014,p10,csp-ns,358.8
2014,p105,UPV,2.6
2014,p106,UPV,50.440000000000005
2014,p107,UPV,1.3
2014,p11,UPV,8.19
2014,p111,UPV,3.3800000000000003
2014,p121,UPV,2.21
