Commercial.Online.Year,pca,tech,cap
2010,p61,battery_4,4.0
2011,p116,battery_4,32.0
2011,p127,battery_4,20.0
2011,p31,battery_4,0.8
2012,p10,battery_4,1.0
2012,p11,battery_4,1.0
2012,p11,pumped-hydro,42.0
2012,p31,battery_4,1.8
2012,p54,battery_4,1.0
2012,p62,battery_4,36.0
2012,p9,battery_4,2.0
2013,p113,battery_4,20.0
2013,p122,battery_4,22.0
2013,p44,battery_4,1.0
2013,p5,battery_4,5.0
2013,p80,battery_4,1.5
2013,p9,battery_4,6.0
2014,p11,battery_4,2.0
2014,p112,battery_4,4.0
2014,p3,battery_4,1.2
2014,p80,battery_4,20.0
2015,p1,battery_4,1.0
2015,p10,battery_4,2.0
2015,p11,battery_4,3.5
2015,p114,battery_4,4.0
2015,p116,battery_4,31.5
2015,p121,battery_4,11.0
2015,p122,battery_4,18.0
2015,p126,battery_4,1.0
2015,p129,battery_4,2.0
2015,p80,battery_4,71.1
2015,p94,battery_4,1.0
2016,p1,battery_4,3.0
2016,p10,battery_4,98.0
2016,p106,battery_4,20.0
2016,p11,battery_4,2.0
2016,p112,battery_4,7.0
2016,p113,battery_4,10.0
2016,p114,battery_4,6.0
2016,p122,battery_4,10.4
2016,p132,battery_4,0.8
2016,p134,battery_4,16.2
2016,p58,battery_4,0.5
2016,p65,battery_4,1.0
2016,p80,battery_4,19.8
2017,p1,battery_4,2.4
2017,p10,battery_4,2.0
2017,p11,battery_4,39.5
2017,p121,battery_4,2.0
2017,p125,battery_4,8.0
2017,p127,battery_4,1.0
2017,p131,battery_4,3.0
2017,p132,battery_4,0.8
2017,p30,battery_4,40.0
2017,p33,battery_4,1.0
2017,p55,battery_4,1.2
2017,p60,battery_4,51.8
2017,p64,battery_4,9.9
2017,p98,battery_4,1.0
2018,p10,battery_4,31.3
2018,p101,battery_4,14.0
2018,p11,battery_4,40.0
2018,p129,battery_4,1.0
2018,p131,battery_4,3.1
2018,p28,battery_4,10.0
2018,p38,battery_4,0.8
2018,p64,battery_4,1.5
2019,p10,battery_4,29.900000000000002
2019,p131,battery_4,1.0
2019,p62,battery_4,9.9
