RetireYear,pca,tech,coolingwatertech,ctt,wst,cap
2011.0,p98,gas-CT,dum,dum,dum,1.2
2012.0,p72,gas-CT,dum,dum,dum,7.8
2013.0,p102,o-g-s,dum,dum,dum,392.0
2013.0,p39,gas-CT,dum,dum,dum,0.8
2013.0,p85,biopower,dum,dum,dum,10.0
2014.0,p10,biopower,dum,dum,dum,33.0
2014.0,p131,gas-CT,dum,dum,dum,2.3
2014.0,p133,o-g-s,dum,dum,dum,2.0
2015.0,p10,CoalOldScr,dum,dum,dum,54.0
2015.0,p10,lfill-gas,dum,dum,dum,1.7
2015.0,p10,other,dum,dum,dum,3.3000000000000003
2015.0,p103,CoalOldUns,dum,dum,dum,64.0
2015.0,p134,hydro,dum,dum,dum,1.7999999999999998
2015.0,p15,other,dum,dum,dum,11.799999999999999
2015.0,p63,biopower,dum,dum,dum,50.0
2015.0,p72,gas-CT,dum,dum,dum,39.0
2015.0,p85,gas-CT,dum,dum,dum,3.2
2016.0,p10,lfill-gas,dum,dum,dum,30.4
2016.0,p102,gas-CT,dum,dum,dum,70.0
2016.0,p102,o-g-s,dum,dum,dum,396.0
2016.0,p103,CoalOldUns,dum,dum,dum,27.0
2016.0,p105,other,dum,dum,dum,0.3
2016.0,p126,lfill-gas,dum,dum,dum,3.6
2016.0,p127,biopower,dum,dum,dum,41.0
2016.0,p133,gas-CT,dum,dum,dum,1.2
2016.0,p23,coal-new,dum,dum,dum,275.0
2016.0,p37,gas-CT,dum,dum,dum,2.1
2016.0,p39,gas-CT,dum,dum,dum,0.1
2016.0,p40,gas-CT,dum,dum,dum,0.5
2016.0,p40,o-g-s,dum,dum,dum,38.5
2016.0,p51,lfill-gas,dum,dum,dum,1.4
2016.0,p58,o-g-s,dum,dum,dum,130.0
2016.0,p64,lfill-gas,dum,dum,dum,3.6
2016.0,p72,gas-CT,dum,dum,dum,12.5
2016.0,p76,lfill-gas,dum,dum,dum,0.9
2016.0,p9,gas-CT,dum,dum,dum,36.0
2016.0,p98,gas-CT,dum,dum,dum,0.6
2017.0,p10,gas-CT,dum,dum,dum,40.0
2017.0,p10,lfill-gas,dum,dum,dum,2.7
2017.0,p103,CoalOldUns,dum,dum,dum,171.5
2017.0,p103,gas-CT,dum,dum,dum,6.0
2017.0,p12,gas-CT,dum,dum,dum,200.0
2017.0,p126,gas-CT,dum,dum,dum,2.2
2017.0,p128,gas-CT,dum,dum,dum,2.7
2017.0,p131,lfill-gas,dum,dum,dum,0.8
2017.0,p133,gas-CT,dum,dum,dum,1.8
2017.0,p134,biopower,dum,dum,dum,22.8
2017.0,p15,hydro,dum,dum,dum,1.1
2017.0,p18,hydro,dum,dum,dum,3.5
2017.0,p33,hydro,dum,dum,dum,2.1
2017.0,p40,o-g-s,dum,dum,dum,72.8
2017.0,p43,gas-CT,dum,dum,dum,6.800000000000001
2017.0,p45,lfill-gas,dum,dum,dum,0.8
2017.0,p46,lfill-gas,dum,dum,dum,3.4000000000000004
2017.0,p47,gas-CT,dum,dum,dum,10.0
2017.0,p52,gas-CT,dum,dum,dum,5.6000000000000005
2017.0,p53,gas-CT,dum,dum,dum,2.9000000000000004
2017.0,p54,o-g-s,dum,dum,dum,47.0
2017.0,p55,o-g-s,dum,dum,dum,83.0
2017.0,p58,gas-CT,dum,dum,dum,1.8
2017.0,p58,o-g-s,dum,dum,dum,25.0
2017.0,p63,gas-CT,dum,dum,dum,4.300000000000001
2017.0,p63,lfill-gas,dum,dum,dum,1.6
