resource_region,tech,RetireYear,cap
30,wind-ons,2019.0,1.8
30,wind-ons,2020.0,55.9
33,wind-ons,2017.0,16.0
33,wind-ons,2018.0,40.0
33,wind-ons,2019.0,44.5
33,wind-ons,2020.0,57.4
82,wind-ons,2018.0,3.0
85,wind-ons,2018.0,30.0
121,wind-ons,2018.0,40.0
123,wind-ons,2022.0,11.6
149,wind-ons,2017.0,152.5
149,wind-ons,2018.0,80.0
149,wind-ons,2019.0,7.5
149,wind-ons,2021.0,210.4
150,wind-ons,2018.0,588.0
150,wind-ons,2020.0,10.0
155,wind-ons,2018.0,76.5
164,wind-ons,2019.0,75.0
193,wind-ons,2019.0,0.2
197,wind-ons,2018.0,0.9
