resource_region,tech,RetireYear,cap
1,wind-ons,9999.0,6.0
4,wind-ons,9999.0,467.6
5,wind-ons,9999.0,1305.6
8,wind-ons,9999.0,105.3
9,wind-ons,9999.0,1248.6
16,wind-ons,9999.0,3157.2000000000003
19,wind-ons,9999.0,53.0
20,wind-ons,9999.0,102.2
22,wind-ons,9999.0,1.0
25,wind-ons,9999.0,1295.8
26,wind-ons,9999.0,3.5
29,wind-ons,9999.0,9.3
30,wind-ons,9999.0,3544.9
31,wind-ons,9999.0,1.9
32,wind-ons,9999.0,194.0
33,wind-ons,9999.0,867.0
36,wind-ons,9999.0,150.0
44,wind-ons,9999.0,275.4
46,wind-ons,9999.0,332.70000000000005
47,wind-ons,9999.0,362.4
48,wind-ons,9999.0,307.2
49,wind-ons,9999.0,18.9
52,wind-ons,9999.0,62.1
53,wind-ons,9999.0,10.0
54,wind-ons,9999.0,227.3
59,wind-ons,9999.0,30.0
64,wind-ons,9999.0,434.20000000000005
66,wind-ons,9999.0,284.7
67,wind-ons,9999.0,114.6
71,wind-ons,9999.0,285.0
74,wind-ons,9999.0,1702.3000000000002
82,wind-ons,9999.0,5.8
83,wind-ons,9999.0,250.0
84,wind-ons,9999.0,1.8
85,wind-ons,9999.0,1451.1
86,wind-ons,9999.0,1139.3999999999999
87,wind-ons,9999.0,415.3
89,wind-ons,9999.0,102.4
90,wind-ons,9999.0,50.4
92,wind-ons,9999.0,798.0
93,wind-ons,9999.0,270.0
96,wind-ons,9999.0,30.0
97,wind-ons,9999.0,150.0
98,wind-ons,9999.0,475.0
99,wind-ons,9999.0,900.5
100,wind-ons,9999.0,1000.0999999999999
101,wind-ons,9999.0,330.0
102,wind-ons,9999.0,515.4
109,wind-ons,9999.0,117.3
110,wind-ons,9999.0,281.1
111,wind-ons,9999.0,80.0
112,wind-ons,9999.0,457.4
114,wind-ons,9999.0,30.0
116,wind-ons,9999.0,617.3
117,wind-ons,9999.0,166.2
118,wind-ons,9999.0,1244.5
119,wind-ons,9999.0,102.30000000000001
120,wind-ons,9999.0,53.300000000000004
121,wind-ons,9999.0,45.0
122,wind-ons,9999.0,48.0
123,wind-ons,9999.0,1708.5999999999995
124,wind-ons,9999.0,98.0
125,wind-ons,9999.0,25.0
127,wind-ons,9999.0,2.5
128,wind-ons,9999.0,95.8
132,wind-ons,9999.0,3813.1000000000004
133,wind-ons,9999.0,413.3
134,wind-ons,9999.0,626.2
135,wind-ons,9999.0,570.4000000000001
136,wind-ons,9999.0,3157.5
137,wind-ons,9999.0,660.0
138,wind-ons,9999.0,500.3
139,wind-ons,9999.0,770.4
140,wind-ons,9999.0,73.8
141,wind-ons,9999.0,200.0
143,wind-ons,9999.0,398.3
144,wind-ons,9999.0,954.3
148,wind-ons,9999.0,1395.1000000000001
149,wind-ons,9999.0,2278.2
150,wind-ons,9999.0,4467.799999999999
152,wind-ons,9999.0,1117.7
153,wind-ons,9999.0,2465.7
154,wind-ons,9999.0,1551.8
155,wind-ons,9999.0,2156.2
156,wind-ons,9999.0,1432.8999999999999
157,wind-ons,9999.0,150.4
158,wind-ons,9999.0,300.0
163,wind-ons,9999.0,698.0
164,wind-ons,9999.0,1747.4
165,wind-ons,9999.0,7518.0999999999985
166,wind-ons,9999.0,3332.7000000000003
167,wind-ons,9999.0,1949.4999999999998
168,wind-ons,9999.0,238.1
169,wind-ons,9999.0,510.0
172,wind-ons,9999.0,2067.3
174,wind-ons,9999.0,3324.4
176,wind-ons,9999.0,1753.7
177,wind-ons,9999.0,590.6
178,wind-ons,9999.0,1169.7
179,wind-ons,9999.0,287.6
180,wind-ons,9999.0,1853.9000000000003
181,wind-ons,9999.0,1.5
182,wind-ons,9999.0,41.5
183,wind-ons,9999.0,5.9
191,wind-ons,9999.0,28.0
193,wind-ons,9999.0,299.7
194,wind-ons,9999.0,104.8
197,wind-ons,9999.0,20.9
199,wind-ons,9999.0,774.9
200,wind-ons,9999.0,1138.4
201,wind-ons,9999.0,1.7
202,wind-ons,9999.0,1.5
203,wind-ons,9999.0,477.8
207,wind-ons,9999.0,987.0
208,wind-ons,9999.0,824.0
209,wind-ons,9999.0,782.8
212,wind-ons,9999.0,22.0
214,wind-ons,9999.0,222.10000000000002
215,wind-ons,9999.0,344.4
218,wind-ons,9999.0,1418.6999999999998
221,wind-ons,9999.0,1788.1000000000001
226,wind-ons,9999.0,521.7
227,wind-ons,9999.0,7.2
228,wind-ons,9999.0,703.1999999999999
234,wind-ons,9999.0,3.5
249,wind-ons,9999.0,254.3
250,wind-ons,9999.0,488.2
252,wind-ons,9999.0,50.4
253,wind-ons,9999.0,190.0
255,wind-ons,9999.0,90.0
281,wind-ons,9999.0,29.099999999999998
294,wind-ons,9999.0,208.0
318,wind-ons,9999.0,2.0
322,wind-ons,9999.0,791.1999999999999
323,wind-ons,9999.0,234.0
324,wind-ons,9999.0,166.6
325,wind-ons,9999.0,128.0
326,wind-ons,9999.0,3.2
329,wind-ons,9999.0,0.1
332,wind-ons,9999.0,7.5
333,wind-ons,9999.0,552.9
334,wind-ons,9999.0,76.0
335,wind-ons,9999.0,199.99999999999997
337,wind-ons,2043.0,79.9
337,wind-ons,9999.0,396.0
338,wind-ons,9999.0,678.2
343,wind-ons,9999.0,1.1
345,wind-ofs,9999.0,29.3
345,wind-ons,9999.0,16.5
346,wind-ons,9999.0,1.5
347,wind-ons,9999.0,57.900000000000006
348,wind-ons,9999.0,28.0
349,wind-ons,9999.0,9.6
350,wind-ons,9999.0,10.0
351,wind-ons,9999.0,105.0
352,wind-ons,9999.0,35.2
353,wind-ons,9999.0,159.1
354,wind-ons,9999.0,52.4
355,wind-ons,9999.0,635.6
356,wind-ons,9999.0,286.0
